item,value,used_in,source_file,expression
qc__bad_succulence__suspected_bad_leaf_area_cm2,66,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"sum(qc[[""bad_succulence""]][[""suspected_bad""]] == ""leaf_area_cm2"", na.rm = TRUE)"
qc__bad_succulence__suspected_bad_leaf_fresh_wgt_g,162,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_succulence_values.csv,"sum(qc[[""bad_succulence""]][[""suspected_bad""]] == ""leaf_fresh_wgt_g"", na.rm = TRUE)"
qc__bad_twig_fwc__rows,300,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"nrow(qc[[""bad_twig_fwc""]])"
qc__bad_twig_fwc__distinct_sample_replicates,300,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"n_distinct(paste(qc[[""bad_twig_fwc""]]$sample_id, qc[[""bad_twig_fwc""]]$replicate))"
qc__bad_twig_fwc__distinct_samples,180,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"n_distinct(qc[[""bad_twig_fwc""]]$sample_id)"
qc__bad_twig_fwc__confidence_both,205,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"sum(qc[[""bad_twig_fwc""]][[""confidence""]] == ""both"", na.rm = TRUE)"
qc__bad_twig_fwc__confidence_ratio_only,95,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"sum(qc[[""bad_twig_fwc""]][[""confidence""]] == ""ratio_only"", na.rm = TRUE)"
qc__bad_twig_fwc__suspected_bad_twig_dry_g,170,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"sum(qc[[""bad_twig_fwc""]][[""suspected_bad""]] == ""twig_dry_g"", na.rm = TRUE)"
qc__bad_twig_fwc__suspected_bad_twig_fresh_g,130,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_twig_fwc_values.csv,"sum(qc[[""bad_twig_fwc""]][[""suspected_bad""]] == ""twig_fresh_g"", na.rm = TRUE)"
qc__bad_thickness__rows,239,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_thickness_values.csv,"nrow(qc[[""bad_thickness""]])"
qc__bad_thickness__distinct_sample_replicates,239,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_thickness_values.csv,"n_distinct(paste(qc[[""bad_thickness""]]$sample_id, qc[[""bad_thickness""]]$replicate))"
qc__bad_thickness__distinct_samples,136,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_thickness_values.csv,"n_distinct(qc[[""bad_thickness""]]$sample_id)"
qc__bad_thickness__confidence_both,204,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_thickness_values.csv,"sum(qc[[""bad_thickness""]][[""confidence""]] == ""both"", na.rm = TRUE)"
qc__bad_thickness__confidence_ratio_only,35,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_thickness_values.csv,"sum(qc[[""bad_thickness""]][[""confidence""]] == ""ratio_only"", na.rm = TRUE)"
qc__flagged_struc__rows,187,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"nrow(qc[[""flagged_struc""]])"
qc__flagged_struc__distinct_sample_replicates,171,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"n_distinct(paste(qc[[""flagged_struc""]]$sample_id, qc[[""flagged_struc""]]$replicate))"
qc__flagged_struc__distinct_samples,100,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"n_distinct(qc[[""flagged_struc""]]$sample_id)"
qc__flagged_struc__trait_flagged_avg_leaf_width_cm,11,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"sum(qc[[""flagged_struc""]][[""trait_flagged""]] == ""avg_leaf_width_cm"", na.rm = TRUE)"
qc__flagged_struc__trait_flagged_fwc,76,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"sum(qc[[""flagged_struc""]][[""trait_flagged""]] == ""fwc"", na.rm = TRUE)"
qc__flagged_struc__trait_flagged_leaf_length_cm,16,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"sum(qc[[""flagged_struc""]][[""trait_flagged""]] == ""leaf_length_cm"", na.rm = TRUE)"
qc__flagged_struc__trait_flagged_leaf_thickness_mm,51,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"sum(qc[[""flagged_struc""]][[""trait_flagged""]] == ""leaf_thickness_mm"", na.rm = TRUE)"
qc__flagged_struc__trait_flagged_lma,33,Methods / Usage Notes / response letter,Quality_Check_Outputs/flagged_struc_values.csv,"sum(qc[[""flagged_struc""]][[""trait_flagged""]] == ""lma"", na.rm = TRUE)"
qc__bad_chemistry__rows,1,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_chemistry_values.csv,"nrow(qc[[""bad_chemistry""]])"
qc__bad_chemistry__distinct_samples,1,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_chemistry_values.csv,"n_distinct(qc[[""bad_chemistry""]]$sample_id)"
qc__bad_chemistry__trait_flagged_percent_C,1,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_chemistry_values.csv,"sum(qc[[""bad_chemistry""]][[""trait_flagged""]] == ""percent_C"", na.rm = TRUE)"
qc__bad_canopy_geometry__rows,0,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_canopy_geometry_values.csv,"nrow(qc[[""bad_canopy_geometry""]])"
qc__bad_canopy_geometry__distinct_samples,0,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_canopy_geometry_values.csv,"n_distinct(qc[[""bad_canopy_geometry""]]$sample_id)"
qc__bad_canopy_magnitude__rows,98,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_canopy_magnitude_values.csv,"nrow(qc[[""bad_canopy_magnitude""]])"
qc__bad_canopy_magnitude__distinct_samples,98,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_canopy_magnitude_values.csv,"n_distinct(qc[[""bad_canopy_magnitude""]]$sample_id)"
qc__bad_height_magnitude__rows,0,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_height_magnitude_values.csv,"nrow(qc[[""bad_height_magnitude""]])"
qc__bad_height_magnitude__distinct_samples,0,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_height_magnitude_values.csv,"n_distinct(qc[[""bad_height_magnitude""]]$sample_id)"
qc__bad_branch_order__rows,0,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_branch_order_values.csv,"nrow(qc[[""bad_branch_order""]])"
qc__bad_branch_order__distinct_samples,0,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_branch_order_values.csv,"n_distinct(qc[[""bad_branch_order""]]$sample_id)"
qc__n_lma_covariation__rows,58,Methods / Usage Notes / response letter,Quality_Check_Outputs/outlying_n_lma_covariation_values.csv,"nrow(qc[[""n_lma_covariation""]])"
qc__n_lma_covariation__distinct_sample_replicates,58,Methods / Usage Notes / response letter,Quality_Check_Outputs/outlying_n_lma_covariation_values.csv,"n_distinct(paste(qc[[""n_lma_covariation""]]$sample_id, qc[[""n_lma_covariation""]]$replicate))"
qc__n_lma_covariation__distinct_samples,26,Methods / Usage Notes / response letter,Quality_Check_Outputs/outlying_n_lma_covariation_values.csv,"n_distinct(qc[[""n_lma_covariation""]]$sample_id)"
qc__zero_cover_recode_log__rows,14,Methods / Usage Notes / response letter,Quality_Check_Outputs/zero_cover_recode_log.csv,"nrow(qc[[""zero_cover_recode_log""]])"
removal_map__avg_leaf_width_cm__sample_replicates,111,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""avg_leaf_width_cm"")"
removal_map__avg_leaf_width_cm__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""avg_leaf_width_cm""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""avg_leaf_width_cm""], removal_map$replicate[removal_map$raw_col == ""avg_leaf_width_cm""])]))"
removal_map__leaf_area_cm2__sample_replicates,111,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""leaf_area_cm2"")"
removal_map__leaf_area_cm2__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_area_cm2""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""leaf_area_cm2""], removal_map$replicate[removal_map$raw_col == ""leaf_area_cm2""])]))"
removal_map__leaf_dry_wgt_g__sample_replicates,172,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""leaf_dry_wgt_g"")"
removal_map__leaf_dry_wgt_g__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_dry_wgt_g""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""leaf_dry_wgt_g""], removal_map$replicate[removal_map$raw_col == ""leaf_dry_wgt_g""])]))"
removal_map__leaf_fresh_wgt_g__sample_replicates,202,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""leaf_fresh_wgt_g"")"
removal_map__leaf_fresh_wgt_g__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_fresh_wgt_g""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""leaf_fresh_wgt_g""], removal_map$replicate[removal_map$raw_col == ""leaf_fresh_wgt_g""])]))"
removal_map__leaf_length_cm__sample_replicates,111,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""leaf_length_cm"")"
removal_map__leaf_length_cm__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_length_cm""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""leaf_length_cm""], removal_map$replicate[removal_map$raw_col == ""leaf_length_cm""])]))"
removal_map__leaf_thickness_mm__sample_replicates,239,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""leaf_thickness_mm"")"
removal_map__leaf_thickness_mm__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""leaf_thickness_mm""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""leaf_thickness_mm""], removal_map$replicate[removal_map$raw_col == ""leaf_thickness_mm""])]))"
removal_map__max_leaf_width_cm__sample_replicates,111,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""max_leaf_width_cm"")"
removal_map__max_leaf_width_cm__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""max_leaf_width_cm""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""max_leaf_width_cm""], removal_map$replicate[removal_map$raw_col == ""max_leaf_width_cm""])]))"
removal_map__twig_dry_g__sample_replicates,170,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""twig_dry_g"")"
removal_map__twig_dry_g__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""twig_dry_g""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""twig_dry_g""], removal_map$replicate[removal_map$raw_col == ""twig_dry_g""])]))"
removal_map__twig_fresh_g__sample_replicates,130,Methods / Usage Notes / response letter,Quality_Check_Outputs/bad_*_values.csv (rebuilt as in Workflow3_Data_Polish.R),"sum(removal_map$raw_col == ""twig_fresh_g"")"
removal_map__twig_fresh_g__still_present_in_release,0,check (expect 0),Data_Outputs/leaf_struct_water_traits.csv,"sum(!is.na(leafstruc[[""twig_fresh_g""]][leaf_row_key %in% paste(removal_map$sample_ID[removal_map$raw_col == ""twig_fresh_g""], removal_map$replicate[removal_map$raw_col == ""twig_fresh_g""])]))"
release_leaf__rows_sharing_a_sample_replicate_key,0,check,Data_Outputs/leaf_struct_water_traits.csv,"sum(duplicated(leaf_row_key) | duplicated(leaf_row_key, fromLast = TRUE))"
release_leaf__sample_IDs_with_repeated_replicate_labels,0,check,Data_Outputs/leaf_struct_water_traits.csv,"n_distinct(leafstruc$sample_ID[duplicated(leaf_row_key) | duplicated(leaf_row_key, fromLast = TRUE)])"
removal_map__distinct_keys,848,check,Quality_Check_Outputs/bad_*_values.csv,"n_distinct(paste(removal_map$sample_ID, removal_map$replicate))"
removal_map__keys_matching_no_release_row,0,check,Quality_Check_Outputs/bad_*_values.csv; Data_Outputs/leaf_struct_water_traits.csv,"sum(!unique(paste(removal_map$sample_ID, removal_map$replicate)) %in% leaf_row_key)"
releve__surveys_releve_ID,1828,abstract / Table 1 / Results,Data_Outputs/releve.csv,n_distinct(releve$releve_ID)
releve__distinct_plot_ids,1684,Results / Methods,Data_Outputs/releve.csv,n_distinct(releve$plot)
releve__plots_with_total_cover,1666,Results / response letter,Data_Outputs/releve.csv,sum(!is.na(releve_plots$plot_percent_cover))
releve__plots_without_total_cover,162,Results / response letter,Data_Outputs/releve.csv,sum(is.na(releve_plots$plot_percent_cover))
releve__plots_cover_over_threshold,583,Results / response letter,Data_Outputs/releve.csv,"sum(releve_plots$plot_percent_cover > cover_threshold, na.rm = TRUE)"
releve__share_plots_cover_over_threshold_pct_all,31.8927789934354,Results / response letter,Data_Outputs/releve.csv,"100 * sum(releve_plots$plot_percent_cover > cover_threshold, na.rm = TRUE)/nrow(releve_plots)"
releve__share_plots_cover_over_threshold_pct_with_cover,34.9939975990396,Results / response letter,Data_Outputs/releve.csv,"100 * sum(releve_plots$plot_percent_cover > cover_threshold, na.rm = TRUE)/sum(!is.na(releve_plots$plot_percent_cover))"
releve__max_plot_percent_cover,585,Results / response letter,Data_Outputs/releve.csv,"max(releve_plots$plot_percent_cover, na.rm = TRUE)"
releve__plots_cover_method__condensed_Acocks_abundance_class_only,162,Methods / Data Records / DAAC doc,Data_Outputs/releve.csv,"sum(releve_plots$cover_method == ""condensed_Acocks_abundance_class_only"", na.rm = TRUE)"
releve__plots_cover_method__percent_cover_class_derived_from_Braun_Blanquet,745,Methods / Data Records / DAAC doc,Data_Outputs/releve.csv,"sum(releve_plots$cover_method == ""percent_cover_class_derived_from_Braun_Blanquet"", na.rm = TRUE)"
releve__plots_cover_method__percent_cover_class_from_Braun_Blanquet_Werger,486,Methods / Data Records / DAAC doc,Data_Outputs/releve.csv,"sum(releve_plots$cover_method == ""percent_cover_class_from_Braun_Blanquet_Werger"", na.rm = TRUE)"
releve__plots_cover_method__percent_cover_continuous,435,Methods / Data Records / DAAC doc,Data_Outputs/releve.csv,"sum(releve_plots$cover_method == ""percent_cover_continuous"", na.rm = TRUE)"
releve__abundance_class_values,"1, 2, 3, 4, 5",Methods / DAAC doc,Data_Outputs/releve.csv,"paste(sort(unique(na.omit(releve$abundance_class))), collapse = "", "")"
releve__records_with_abundance_class,6066,Methods / DAAC doc,Data_Outputs/releve.csv,sum(!is.na(releve$abundance_class))
releve__records_with_percent_cover,38094,Methods / DAAC doc,Data_Outputs/releve.csv,sum(!is.na(releve$percent_cover))
releve__cape_point__1966__surveys,81,Results / response letter,Data_Outputs/releve.csv,n_distinct(cape_point$releve_ID[cape_point$year == 1966])
releve__cape_point__1966__species_records,3110,Results / response letter,Data_Outputs/releve.csv,sum(cape_point$year == 1966)
releve__cape_point__1966__records_with_percent_cover,0,Results / response letter,Data_Outputs/releve.csv,sum(!is.na(cape_point$percent_cover[cape_point$year == 1966]))
releve__cape_point__1966__cover_method,condensed_Acocks_abundance_class_only,Methods / response letter,Data_Outputs/releve.csv,"paste(sort(unique(cape_point$cover_method[cape_point$year == 1966])), collapse = "" + "")"
releve__cape_point__1996__surveys,81,Results / response letter,Data_Outputs/releve.csv,n_distinct(cape_point$releve_ID[cape_point$year == 1996])
releve__cape_point__1996__species_records,2956,Results / response letter,Data_Outputs/releve.csv,sum(cape_point$year == 1996)
releve__cape_point__1996__records_with_percent_cover,0,Results / response letter,Data_Outputs/releve.csv,sum(!is.na(cape_point$percent_cover[cape_point$year == 1996]))
releve__cape_point__1996__cover_method,condensed_Acocks_abundance_class_only,Methods / response letter,Data_Outputs/releve.csv,"paste(sort(unique(cape_point$cover_method[cape_point$year == 1996])), collapse = "" + "")"
releve__cape_point__2010__surveys,67,Results / response letter,Data_Outputs/releve.csv,n_distinct(cape_point$releve_ID[cape_point$year == 2010])
releve__cape_point__2010__species_records,2455,Results / response letter,Data_Outputs/releve.csv,sum(cape_point$year == 2010)
releve__cape_point__2010__records_with_percent_cover,2455,Results / response letter,Data_Outputs/releve.csv,sum(!is.na(cape_point$percent_cover[cape_point$year == 2010]))
releve__cape_point__2010__cover_method,percent_cover_continuous,Methods / response letter,Data_Outputs/releve.csv,"paste(sort(unique(cape_point$cover_method[cape_point$year == 2010])), collapse = "" + "")"
releve__records_percent_cover_below_0.1,304,response letter,Data_Outputs/releve.csv,"sum(releve$percent_cover < 0.1, na.rm = TRUE)"
releve__records_percent_cover_equal_0.1,8769,response letter,Data_Outputs/releve.csv,"sum(releve$percent_cover == 0.1, na.rm = TRUE)"
releve__min_percent_cover,0.01,response letter,Data_Outputs/releve.csv,"min(releve$percent_cover, na.rm = TRUE)"
releve__surveys__baviaanskloof__1992,120,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""baviaanskloof"" & releve_plots$year == 1992)"
releve__surveys__baviaanskloof__2011,240,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""baviaanskloof"" & releve_plots$year == 2011)"
releve__surveys__cape_point__1966,81,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""cape_point"" & releve_plots$year == 1966)"
releve__surveys__cape_point__1996,81,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""cape_point"" & releve_plots$year == 1996)"
releve__surveys__cape_point__2010,67,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""cape_point"" & releve_plots$year == 2010)"
releve__surveys__cederberg__1996,190,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""cederberg"" & releve_plots$year == 1996)"
releve__surveys__hangklip__1978,251,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""hangklip"" & releve_plots$year == 1978)"
releve__surveys__htr__2004,386,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""htr"" & releve_plots$year == 2004)"
releve__surveys__htr__2013,100,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""htr"" & releve_plots$year == 2013)"
releve__surveys__htr__2014,8,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""htr"" & releve_plots$year == 2014)"
releve__surveys__langeberg__1993,304,Methods / Results,Data_Outputs/releve.csv,"sum(releve_plots$subregion == ""langeberg"" & releve_plots$year == 1993)"
releve__cape_point__max_percent_cover,75.5,Results / response letter,Data_Outputs/releve.csv,"max(cape_point$percent_cover, na.rm = TRUE)"
releve__cape_point__max_plot_percent_cover,149.22,Results / response letter,Data_Outputs/releve.csv,"max(cape_point$plot_percent_cover, na.rm = TRUE)"
