item,value,used_in,source_file,expression
species_Asteraceae__leaf_and_canopy_pooled,236,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv; canopy_leaf_chemistry.csv,pooled_species(family_of_interest)
share_species_Asteraceae_pct__leaf_and_canopy_pooled,17.7844762622457,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv; canopy_leaf_chemistry.csv,100 * pooled_species(family_of_interest)/pooled_species()
share_species_Asteraceae_pct__leaf_struct_water_traits,17.7844762622457,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * n_distinct(leafstruc[[species_col]][which(leafstruc[[family_col]] == family_of_interest)], na.rm = TRUE)/n_distinct(leafstruc[[species_col]], na.rm = TRUE)"
share_rows_Asteraceae_pct__leaf_struct_water_traits,16.9372577773122,Results / response letter,Data_Outputs/leaf_struct_water_traits.csv,"100 * sum(leafstruc[[family_col]] == family_of_interest, na.rm = TRUE)/nrow(leafstruc)"
share_species_Asteraceae_pct__canopy_leaf_chemistry,17.7844762622457,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * n_distinct(canopy[[species_col]][which(canopy[[family_col]] == family_of_interest)], na.rm = TRUE)/n_distinct(canopy[[species_col]], na.rm = TRUE)"
share_rows_Asteraceae_pct__canopy_leaf_chemistry,17.457154244719,Results / response letter,Data_Outputs/canopy_leaf_chemistry.csv,"100 * sum(canopy[[family_col]] == family_of_interest, na.rm = TRUE)/nrow(canopy)"
share_species_Asteraceae_pct__vnir_spectra,17.5302245250432,Results / response letter,Data_Outputs/vnir_spectra.csv,"100 * n_distinct(vnir[[species_col]][which(vnir[[family_col]] == family_of_interest)], na.rm = TRUE)/n_distinct(vnir[[species_col]], na.rm = TRUE)"
share_rows_Asteraceae_pct__vnir_spectra,15.1170351105332,Results / response letter,Data_Outputs/vnir_spectra.csv,"100 * sum(vnir[[family_col]] == family_of_interest, na.rm = TRUE)/nrow(vnir)"
share_species_Asteraceae_pct__species_traits,16.9905106190691,Results / response letter,Data_Outputs/species_traits.csv,"100 * n_distinct(species[[species_col]][which(species[[family_col]] == family_of_interest)], na.rm = TRUE)/n_distinct(species[[species_col]], na.rm = TRUE)"
share_rows_Asteraceae_pct__species_traits,16.8988764044944,Results / response letter,Data_Outputs/species_traits.csv,"100 * sum(species[[family_col]] == family_of_interest, na.rm = TRUE)/nrow(species)"
