"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship","family_WFO","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal"
"Cliffortia teretifolia","Cliffortia teretifolia","ROSACEAE","Cliffortia teretifolia","L.f.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Sep","Dec",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia triloba","Cliffortia triloba","ROSACEAE","Cliffortia triloba","Harv.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Aug","Sep",NA,NA,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,0,NA,0,0,"leaf",2,"h","w","p"
"Cliffortia tuberculata","Cliffortia tuberculata","ROSACEAE","Cliffortia tuberculata","(Harv.) Weim.","Rosaceae",1,0,"Perennial",1,1,1,0,0,0,0,1,0,"Oct","Nov",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,1,0,0,NA,0,0,"leaf",2,"h","w","i"
"Clutia alaternoides","Clutia alaternoides","EUPHORBIACEAE","Clutia alaternoides","L.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Aug","Oct",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.506363636,0,0,"leaf",2,"m","i","p"
"Clutia daphnoides","Clutia daphnoides","EUPHORBIACEAE","Clutia daphnoides","Lam.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Jun","Sep",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Clutia ericoides","Clutia ericoides","EUPHORBIACEAE","Clutia ericoides","Thunb.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"May","Jul",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.044166667,0,0,"leaf",2,"m","i","p"
"Clutia laxa","Clutia laxa","EUPHORBIACEAE","Clutia laxa","Eckl. ex Sond.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Jul","Sep",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.012,0,0,"leaf",2,"m","i","p"
"Clutia polifolia","Clutia polifolia","EUPHORBIACEAE","Clutia polifolia","Jacq.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,0,0,"Jul","Sep",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.637272727,0,0,"leaf",2,"h","i","p"
"Clutia polygonoides","Clutia polygonoides","EUPHORBIACEAE","Clutia polygonoides","L.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Oct","Apr",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"h","i","p"
"Clutia pulchella","Clutia pulchella","EUPHORBIACEAE","Clutia pulchella","L.","Peraceae",1,0,"Perennial",0,1,1,0,0,0,0,1,0,"Aug","Sep",NA,NA,200,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"leaf",0,1,1,0,0,0,3.12,0,0,"leaf",2,"h","i","p"
