"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","perennial","annual","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal","scientific_name_authorship"
"Bulbine lagopus","Bulbine lagopus","Asphodelaceae","Bulbine lagopus","Bulbine lagopus","Asphodelaceae",1,0,1,0,1,0,0,0,0,1,0,"Jul","Dec",NA,NA,40,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","w","Bulbine lagopus"
"Bulbine latifolia","Bulbine latifolia","Asphodelaceae","Bulbine latifolia","Bulbine latifolia","Asphodelaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Nov",NA,NA,60,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,21.12,0,0,"leaf",2,"l","i","w","Bulbine latifolia"
"Cadaba aphylla","Cadaba aphylla","Capparaceae","Cadaba aphylla","Cadaba aphylla","Capparaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Apr",NA,NA,200,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,"leaf",0,0,0,0,0,0,10.7,1,1,"culm_stem",3,"l","i","u","Cadaba aphylla"
"Caesia contorta","Caesia contorta","Hemerocallidaceae","Caesia contorta","Caesia contorta","Asphodelaceae",1,0,1,0,1,0,0,1,0,1,0,"Nov","Mar",NA,NA,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Caesia contorta"
"Calobota cytisoides","Lebeckia cytisoides","Fabaceae","Calobota cytisoides","Calobota cytisoides","Fabaceae",1,0,1,0,1,0,0,0,0,1,0,"Jul","Mar",NA,NA,200,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,0,0,3.06,0,0,"leaf",2,"h","i","p","Calobota cytisoides"
"Campylostachys cernua","Campylostachys cernua","Stilbaceae","Campylostachys cernua","Campylostachys cernua","Stilbaceae",1,0,1,0,1,0,0,0,0,1,0,"Nov","Mar",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.34,0,0,"leaf",2,"l","i","p","Campylostachys cernua"
"Cannomois grandis","Cannomois grandis","Restionaceae","Cannomois grandis","Cannomois grandis","Restionaceae",1,0,0,1,1,0,0,0,0,0,0,"Oct","Dec",NA,NA,400,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,NA,1,1,"culm_stem",2,"h","w","i","Cannomois grandis"
"Cannomois parviflora","Cannomois parviflora","Restionaceae","Cannomois parviflora","Cannomois parviflora","Restionaceae",1,0,0,1,1,0,0,0,0,1,0,"Aug","Aug",NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,61.44,1,1,"culm_stem",2,"h","w","i","Cannomois parviflora"
"Cannomois schlechteri","Cannomois taylorii","Restionaceae","Cannomois parviflora","Cannomois parviflora","Restionaceae",1,0,0,1,1,0,0,0,0,0,0,"Jun","Aug",NA,NA,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,138.26,1,1,"culm_stem",2,"h","w","i","Cannomois parviflora"
"Cannomois scirpoides","Cannomois scirpoides","Restionaceae","Cannomois scirpoides","Cannomois scirpoides","Restionaceae",1,0,0,1,1,0,0,0,0,1,0,"Mar","Jun",NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,82.06666667,1,1,"culm_stem",2,"h","w","i","Cannomois scirpoides"
"Cannomois virgata","Cannomois virgata","Restionaceae","Cannomois virgata","Cannomois virgata","Restionaceae",1,0,0,1,1,0,0,0,0,1,0,"Oct","Jan",NA,NA,300,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,35.76923077,1,1,"culm_stem",2,"h","w","i","Cannomois virgata"
"Capelio tabularis","Alciope tabularis","Asteraceae","Capelio tabularis","Capelio tabularis","Asteraceae",1,0,1,0,1,0,0,0,1,1,0,"Apr","Jul",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,7.8,0,0,"leaf",3,"m","i","w","Capelio tabularis"
"Capelio tomentosa","Alciope lanata","Asteraceae","Capelio tomentosa","Capelio tomentosa","Asteraceae",1,0,1,0,1,0,0,0,0,1,0,"Nov","Jan",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,7.36,0,0,"leaf",3,"m","i","w","Capelio tomentosa"
"Capeobolus brevicaulis","Capeobolus brevicaulis","Cyperaceae","Capeobolus brevicaulis","Capeobolus brevicaulis","Cyperaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Mar",NA,NA,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,9.23,0,0,"leaf",2,"m","w","p","Capeobolus brevicaulis"
"Capeochloa arundinacea","Merxmuellera arundinacea","Poaceae","Capeochloa arundinacea","Capeochloa arundinacea","Poaceae",1,0,1,0,1,0,0,0,0,1,0,"Sep","Nov",NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,56.25454545,0,0,"leaf",3,"h","w","w","Capeochloa arundinacea"
"Capeochloa cincta","Merxmuellera cincta","Poaceae","Capeochloa cincta","Capeochloa cincta","Poaceae",1,0,1,0,1,0,0,0,0,1,0,"Oct","Apr",NA,NA,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,78.22,0,0,"leaf",2,"h","w","w","Capeochloa cincta"
"Capparis sepiaria","Capparis sepiaria","Capparaceae","Capparis sepiaria","Capparis sepiaria","Capparaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Jan",NA,NA,500,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"m","i","m","Capparis sepiaria"
"Carissa bispinosa","Carissa bispinosa","Apocynaceae","Carissa bispinosa","Carissa bispinosa","Apocynaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Dec",NA,NA,500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,2.116666667,0,0,"leaf",3,"l","i","m","Carissa bispinosa"
"Carpacoce gigantea","Carpacoce gigantea","Rubiaceae","Carpacoce gigantea","Carpacoce gigantea","Rubiaceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","w","p","Carpacoce gigantea"
"Carpacoce heteromorpha","Carpacoce heteromorpha","Rubiaceae","Carpacoce heteromorpha","Carpacoce heteromorpha","Rubiaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Jan",NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.82,0,0,"leaf",2,"m","w","p","Carpacoce heteromorpha"
"Carpacoce spermacocea","Carpacoce spermacocea","Rubiaceae","Carpacoce spermacocea","Carpacoce spermacocea","Rubiaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Jan",NA,NA,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.3,0,0,"mixed",2,"m","w","p","Carpacoce spermacocea"
"Carpacoce vaginellata","Carpacoce vaginellata","Rubiaceae","Carpacoce vaginellata","Carpacoce vaginellata","Rubiaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","May",NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,3.066666667,0,0,"mixed",2,"m","w","p","Carpacoce vaginellata"
"Carpha glomerata","Carpha glomerata","Cyperaceae","Carpha glomerata","Carpha glomerata","Cyperaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Jan",NA,NA,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,2,0,0,0,0,93.34,0,0,"leaf",3,"h","w","u","Carpha glomerata"
"Carpobrotus acinaciformis","Carpobrotus acinaciformis","Aizoaceae","Carpobrotus acinaciformis","Carpobrotus acinaciformis","Aizoaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Dec",NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,8.141666667,0,0,"leaf",2,"l","i","m","Carpobrotus acinaciformis"
"Carpobrotus edulis","Carpobrotus edulis","Aizoaceae","Carpobrotus edulis","Carpobrotus edulis","Aizoaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Oct",NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,"leaf",0,1,0,0,0,0,8.478666667,0,0,"leaf",2,"l","i","m","Carpobrotus edulis"
"Cassine peragua","Cassine peragua","Celastraceae","Cassine peragua","Cassine peragua","Celastraceae",1,0,1,0,1,0,0,0,0,1,0,"Feb","Jul",NA,NA,1500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,4.168421053,0,0,"leaf",3,"m","i","m","Cassine peragua"
"Cassine schinoides","Cassine schinoides","Celastraceae","Elaeodendron schinoides","Elaeodendron schinoides","Celastraceae",1,0,1,0,1,0,0,0,0,1,0,"Oct","Dec",NA,NA,1000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,7.89,0,0,"leaf",3,"m","i","m","Elaeodendron schinoides"
"Cassytha ciliolata","Cassytha ciliolata","Lauraceae","Cassytha ciliolata","Cassytha ciliolata","Lauraceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Jan",NA,NA,200,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,"leaf",0,0,0,0,0,0,34.75,1,1,"leaf",2,"l","i","m","Cassytha ciliolata"
"Cassytha filiformis","Cassytha filiformis","Lauraceae","Cassytha filiformis","Cassytha filiformis","Lauraceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Jan",NA,NA,200,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"leaf",0,0,0,0,0,0,23.4,1,1,"leaf",2,"l","i","m","Cassytha filiformis"
"Celtis africana","Celtis africana","Celtidaceae","Celtis africana","Celtis africana","Cannabaceae",1,0,1,0,0,1,0,0,0,0,0,"Jan","Apr",NA,NA,3000,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",3,"l","i","m","Celtis africana"
"Cenchrus ciliaris","Cenchrus ciliaris","Poaceae","Cenchrus ciliaris","Cenchrus ciliaris","Poaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Apr",NA,NA,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,15,0,1,"mixed",1,"h","w","w","Cenchrus ciliaris"
"Centella affinis","Centella affinis","Apiaceae","Centella affinis","Centella affinis","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Aug","Jan",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","w","p","Centella affinis"
"Centella cochlearia","Centella recticarpa","Apiaceae","Centella cochlearia","Centella cochlearia","Apiaceae",1,0,1,0,1,0,0,1,0,1,0,"Sep","Apr",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Centella cochlearia"
"Centella difformis","Centella difformis","Apiaceae","Centella difformis","Centella difformis","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Aug","Apr",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,1,0,4.4,0,0,"leaf",2,"l","i","p","Centella difformis"
"Centella glabrata","Centella glabrata","Apiaceae","Centella glabrata","Centella glabrata","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Sep","Jan",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,4.82,0,0,"leaf",2,"l","i","p","Centella glabrata"
"Centella lanata","Centella lanata","Apiaceae","Centella lanata","Centella lanata","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Jan","May",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,3.56,0,0,"leaf",2,"l","i","p","Centella lanata"
"Centella lasiophylla","Centella lasiophylla","Apiaceae","Centella lasiophylla","Centella lasiophylla","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Sep","Dec",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,NA,0,0,"leaf",2,"l","i","p","Centella lasiophylla"
"Centella linifolia","Centella linifolia","Apiaceae","Centella linifolia","Centella linifolia","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Sep","Dec",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Centella linifolia"
"Centella macrocarpa","Centella macrocarpa","Apiaceae","Centella macrocarpa","Centella macrocarpa","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Apr","Jan",NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,3.6,0,0,"leaf",2,"l","i","p","Centella macrocarpa"
"Centella montana","Centella montana","Apiaceae","Centella montana","Centella montana","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Aug","Jan",NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,1,0,0,0,NA,0,0,"leaf",2,"l","i","p","Centella montana"
"Centella restioides","Centella restioides","Apiaceae","Centella restioides","Centella restioides","Apiaceae",1,0,1,0,1,0,0,1,0,1,0,"Oct","Dec",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,4.308333333,0,0,"leaf",2,"l","i","p","Centella restioides"
"Centella sessilis","Centella sessilis","Apiaceae","Centella sessilis","Centella sessilis","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Sep","Jan",NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Centella sessilis"
"Centella stenophylla","Centella stenophylla","Apiaceae","Centella stenophylla","Centella stenophylla","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Aug","Jan",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","p","Centella stenophylla"
"Centella tridentata","Centella tridentata","Apiaceae","Centella tridentata","Centella tridentata","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Aug","Dec",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,1.733333333,0,0,"leaf",2,"l","i","p","Centella tridentata"
"Centella triloba","Centella triloba","Apiaceae","Centella triloba","Centella triloba","Apiaceae",1,0,1,0,1,0,0,0,0,1,0,"Aug","Apr",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,3.22,0,0,"leaf",2,"l","i","p","Centella triloba"
"Centella villosa","Centella villosa","Apiaceae","Centella villosa","Centella villosa","Apiaceae",1,0,1,0,1,0,0,1,0,1,0,"Sep","Dec",NA,NA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.32,0,0,"leaf",2,"l","i","p","Centella villosa"
"Centella virgata","Centella virgata","Apiaceae","Centella virgata","Centella virgata","Apiaceae",1,0,1,0,1,0,0,1,0,0,0,"Sep","Dec",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,3.712727273,0,0,"leaf",2,"l","i","p","Centella virgata"
"Cephalaria humilis","Cephalaria humilis","Dipsacaceae","Cephalaria humilis","Cephalaria humilis","Caprifoliaceae",1,0,1,0,1,0,0,1,0,1,0,"Dec","Jan",NA,NA,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,1,NA,0,0,"leaf",2,"l","i","w","Cephalaria humilis"
"Ceratocaryum argenteum","Ceratocaryum argenteum","Restionaceae","Ceratocaryum argenteum","Ceratocaryum argenteum","Restionaceae",1,0,0,1,1,0,0,0,0,0,0,"Feb","Apr",NA,NA,150,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,NA,1,1,"culm_stem",2,"h","w","i","Ceratocaryum argenteum"
"Ceratocaryum decipiens","Ceratocaryum decipiens","Restionaceae","Ceratocaryum decipiens","Ceratocaryum decipiens","Restionaceae",1,0,0,1,1,0,0,0,0,1,0,"Feb","Mar",NA,NA,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,0,0,0,0,NA,1,1,"culm_stem",2,"h","w","i","Ceratocaryum decipiens"
"Chaenostoma denudatum","Sutera denudata","Scrophulariaceae","Chaenostoma denudatum","Chaenostoma denudatum","Scrophulariaceae",1,0,1,0,1,0,0,1,0,0,0,"Jan","Dec",NA,NA,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,1.471111111,0,0,"leaf",1,"m","i","p","Chaenostoma denudatum"
"Chaenostoma hispidum","Sutera hispida","Scrophulariaceae","Chaenostoma hispidum","Chaenostoma hispidum","Scrophulariaceae",1,0,1,0,1,0,0,1,0,0,0,"Jan","Dec",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,0.78,0,0,"leaf",1,"m","i","p","Chaenostoma hispidum"
"Chaenostoma longipedicellatum","Sutera longipedicellata","Scrophulariaceae","Chaenostoma longipedicellatum","Chaenostoma longipedicellatum","Scrophulariaceae",1,0,1,0,1,0,0,1,0,0,0,"Jun","Sep",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",1,"m","i","p","Chaenostoma longipedicellatum"
"Chamarea capensis","Chamarea capensis","Apiaceae","Chamarea capensis","Chamarea capensis","Apiaceae",1,0,1,0,0,1,1,1,0,1,0,"Nov","Apr",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,1,NA,0,0,"leaf",2,"l","i","p","Chamarea capensis"
"Chamarea gracillima","Chamarea gracillima","Apiaceae","Chamarea gracillima","Chamarea gracillima","Apiaceae",1,0,1,0,0,1,1,1,0,1,0,"Nov","Apr",NA,NA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,1,1,1,NA,0,0,"leaf",2,"l","i","p","Chamarea gracillima"
"Chascanum cuneifolium","Chascanum cuneifolium","Verbenaceae","Chascanum cuneifolium","Chascanum cuneifolium","Verbenaceae",1,0,1,0,1,0,0,0,0,0,0,"Jul","Nov",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,1.266666667,0,0,"leaf",2,"l","i","u","Chascanum cuneifolium"
"Cheilanthes contracta","Cheilanthes contracta","Pteridaceae","Anthonya contracta","Anthonya contracta","Pteridaceae",1,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,1,0,1,1,1,1.46,0,0,"leaf",2,"l","w","w","Anthonya contracta"
"Cheilanthes induta","Cheilanthes induta","Pteridaceae","Choristosoria induta","Choristosoria induta","Pteridaceae",1,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,1,0,1,0,1,NA,0,0,"leaf",2,"l","w","w","Choristosoria induta"
"Cheilanthes involuta","Cheilanthes involuta","Pteridaceae","Choristosoria involuta","Choristosoria involuta","Pteridaceae",1,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",1,1,0,1,0,1,NA,0,0,"leaf",2,"l","w","w","Choristosoria involuta"
"Cheilanthes multifida","Cheilanthes multifida","Pteridaceae","Choristosoria multifida","Choristosoria multifida","Pteridaceae",1,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,0,1,0,1,1,NA,0,0,"leaf",2,"l","w","w","Choristosoria multifida"
"Cheilanthes parviloba","Cheilanthes parviloba","Pteridaceae","Anthonya parviloba","Anthonya parviloba","Pteridaceae",1,0,1,0,1,0,0,0,0,1,0,NA,NA,NA,NA,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"frond",0,0,1,1,0,1,7.976666667,0,0,"leaf",2,"l","w","w","Anthonya parviloba"
"Chenolea diffusa","Chenolea diffusa","Amaranthaceae","Chenolea diffusa","Chenolea diffusa","Chenopodiaceae",1,0,1,0,1,0,0,0,0,0,0,"Feb","Apr",NA,NA,30,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,"leaf",0,1,1,0,0,0,0.86,0,0,"leaf",2,"l","u","p","Chenolea diffusa"
"Chironia baccifera","Chironia baccifera","Gentianaceae","Chironia baccifera","Chironia baccifera","Gentianaceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Feb",NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.135833333,0,1,"leaf",2,"m","i","m","Chironia baccifera"
"Chironia decumbens","Chironia decumbens","Gentianaceae","Chironia decumbens","Chironia decumbens","Gentianaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,15,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"leaf",1,0,1,0,0,0,NA,0,1,"leaf",2,"l","i","m","Chironia decumbens"
"Chironia jasminoides","Chironia jasminoides","Gentianaceae","Chironia jasminoides","Chironia jasminoides","Gentianaceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Jan",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,1,0,0,0,NA,0,1,"leaf",2,"l","i","m","Chironia jasminoides"
"Chironia linoides","Chironia linoides","Gentianaceae","Chironia linoides","Chironia linoides","Gentianaceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,90,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.62,0,1,"leaf",2,"l","i","m","Chironia linoides"
"Chironia melampyrifolia","Chironia melampyrifolia","Gentianaceae","Chironia melampyrifolia","Chironia melampyrifolia","Gentianaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Jan",NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,7.26,0,1,"leaf",2,"l","i","m","Chironia melampyrifolia"
"Chlorophytum crispum","Chlorophytum crispum","Anthericaceae","Chlorophytum crispum","Chlorophytum crispum","Asparagaceae",1,0,1,0,1,0,0,1,0,1,0,"Sep","Apr",NA,NA,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,NA,0,0,"leaf",2,"l","i","w","Chlorophytum crispum"
"Chrysitrix capensis","Chrysitrix capensis","Cyperaceae","Chrysitrix capensis","Chrysitrix capensis","Cyperaceae",1,0,1,0,1,0,0,0,0,1,0,"Apr","Nov",NA,NA,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,23.88,0,0,"leaf",2,"m","w","p","Chrysitrix capensis"
"Chrysitrix junciformis","Chrysitrix junciformis","Cyperaceae","Chrysitrix junciformis","Chrysitrix junciformis","Cyperaceae",1,0,1,0,1,0,0,0,0,1,0,"Apr","Dec",NA,NA,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,49.14,0,0,"culm_stem",2,"m","w","p","Chrysitrix junciformis"
"Chrysocoma ciliata","Chrysocoma ciliata","Asteraceae","Chrysocoma ciliata","Chrysocoma ciliata","Asteraceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,0.648181818,0,0,"leaf",2,"h","i","w","Chrysocoma ciliata"
"Chrysocoma coma-aurea","Chrysocoma coma-aurea","Asteraceae","Chrysocoma coma-aurea","Chrysocoma coma-aurea","Asteraceae",1,0,1,0,1,0,0,0,0,0,0,"Oct","Jan",NA,NA,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,0,0,1.21,0,0,"leaf",2,"h","i","w","Chrysocoma coma-aurea"
"Cineraria geifolia","Cineraria geifolia","Asteraceae","Cineraria geifolia","Cineraria geifolia","Asteraceae",1,0,1,0,1,0,0,0,0,0,0,"Aug","Nov",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,NA,0,0,"leaf",1,"l","i","w","Cineraria geifolia"
"Cineraria lobata","Cineraria lobata","Asteraceae","Cineraria lobata","Cineraria lobata","Asteraceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Jan",NA,NA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,NA,0,0,"leaf",1,"l","i","w","Cineraria lobata"
"Cineraria platycarpa","Cineraria platycarpa","Asteraceae","Cineraria platycarpa","Cineraria platycarpa","Asteraceae",0,1,1,0,1,0,0,0,0,0,0,"Aug","Sep",NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,NA,0,0,"leaf",0,"l","i","w","Cineraria platycarpa"
"Cineraria saxifraga","Cineraria saxifraga","Asteraceae","Cineraria saxifraga","Cineraria saxifraga","Asteraceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,1.948333333,0,0,"leaf",1,"l","i","w","Cineraria saxifraga"
