"scientific_name_original","scientific_name_MG","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","perennial","annual","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","plant_longevity","flammability","pollination","dispersal","scientific_name_authorship"
"Cleretum lyratifolium","Cleretum lyratifolium","Aizoaceae","Cleretum lyratifolium","Cleretum lyratifolium","Aizoaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,1,0,0,0,0,4,0,0,"leaf",0,"l","i","p","Cleretum lyratifolium"
"Cleretum maughanii","Cleretum maughanii","Aizoaceae","Cleretum maughanii","Cleretum maughanii","Aizoaceae",0,1,1,0,0,0,1,1,0,0,0,"Jul","Sep",NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,0,1,0,0,0,5,0,0,"leaf",0,"l","i","p","Cleretum maughanii"
"Cleretum papulosum","Cleretum papulosum","Aizoaceae","Cleretum papulosum","Cleretum papulosum","Aizoaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,1,0,0,0,0,4,0,0,"leaf",0,"l","i","p","Cleretum papulosum"
"Cliffortia arborea","Cliffortia arborea","Rosaceae","Cliffortia arborea","Cliffortia arborea","Rosaceae",1,0,1,1,1,0,0,0,0,1,1,"Nov",NA,NA,NA,500,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,2,0,0,"leaf",3,"h","w","p","Cliffortia arborea"
"Colchicum albomarginatum","Colchicum albomarginatum","Colchicaceae","Colchicum albomarginatum","Colchicum albomarginatum","Colchicaceae",1,0,1,0,0,1,1,1,0,1,0,NA,NA,NA,NA,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,0,1,0,0,0,15,0,0,"leaf",2,"l","m","p","Colchicum albomarginatum"
"Colchicum capense subsp. ciliolatum","Colchicum capense subsp. ciliolatum","Colchicaceae","Colchicum capense subsp. ciliolatum","Colchicum capense subsp. ciliolatum","Colchicaceae",1,0,1,0,0,1,1,1,0,1,0,NA,NA,NA,NA,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,12,0,0,"leaf",2,"l","m","p","Colchicum capense subsp. ciliolatum"
"Colchicum crispum","Colchicum crispum","Colchicaceae","Colchicum crispum","Colchicum crispum","Colchicaceae",1,0,1,0,0,1,1,1,0,0,0,"Jul","Aug",NA,NA,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,10,0,0,"leaf",2,"l","m","p","Colchicum crispum"
"Convolvulus capensis","Convolvulus capensis","Convolvulaceae","Convolvulus capensis","Convolvulus capensis","Convolvulaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Oct",NA,NA,200,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,"leaf",0,0,1,0,1,0,2,0,0,"leaf",2,"l","i","w","Convolvulus capensis"
"Nidorella ivifolia","Conyza scabrida","Asteraceae","Nidorella ivifolia","Nidorella ivifolia","Asteraceae",1,0,1,0,1,0,0,0,0,0,0,"Nov","Apr",NA,NA,200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,5,0,0,"leaf",2,"m","i","w","Nidorella ivifolia"
"Cotula barbata","Cotula barbata","Asteraceae","Cotula barbata","Cotula barbata","Asteraceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",1,0,0,0,1,1,5,0,0,"leaf",0,"l","i","w","Cotula barbata"
"Cotula bipinnata","Cotula bipinnata","Asteraceae","Cotula bipinnata","Cotula bipinnata","Asteraceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,1,1,5,0,0,"leaf",0,"l","i","w","Cotula bipinnata"
"Cotula microglossa","Cotula microglossa","Asteraceae","Cotula microglossa","Cotula microglossa","Asteraceae",0,1,1,0,0,0,1,1,0,0,0,"Sep","Oct",NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,1,1,5,0,0,"leaf",0,"l","i","w","Cotula microglossa"
"Cotula nudicaulis","Cotula nudicaulis","Asteraceae","Cotula nudicaulis","Cotula nudicaulis","Asteraceae",0,1,1,0,0,0,1,1,0,0,0,"Jul","Sep",NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,1,1,2,0,0,"leaf",0,"l","i","w","Cotula nudicaulis"
"Cotula sororia","Cotula sororia","Asteraceae","Cotula sororia","Cotula sororia","Asteraceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,1,1,2,0,0,"leaf",0,"l","i","w","Cotula sororia"
"Crassula alpestris","Crassula alpestris","Crassulaceae","Crassula alpestris","Crassula alpestris","Crassulaceae",1,0,1,0,1,0,0,0,NA,0,0,NA,NA,NA,NA,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,1,0,0,0,0,2,0,0,"leaf",3,"l","i","p","Crassula alpestris"
"Crassula barbata","Crassula barbata","Crassulaceae","Crassula barbata","Crassula barbata","Crassulaceae",1,0,1,0,1,0,0,0,0,0,0,"Sep","Nov",NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,0,1,0,0,0,4,0,0,"leaf",2,"l","i","p","Crassula barbata"
"Crassula dichotoma","Crassula dichotoma","Crassulaceae","Crassula dichotoma","Crassula dichotoma","Crassulaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,20,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,0,1,0,0,0,1,0,0,"leaf",0,"l","i","p","Crassula dichotoma"
"Crassula glomerata","Crassula glomerata","Crassulaceae","Crassula glomerata","Crassula glomerata","Crassulaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,1,0,0,0,0,0.7,0,0,"leaf",0,"l","i","p","Crassula glomerata"
"Crassula sericea","Crassula sericea","Crassulaceae","Crassula sericea","Crassula sericea","Crassulaceae",1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,20,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,0,1,0,0,0,3.5,0,0,"leaf",3,"l","i","p","Crassula sericea"
"Crassula subaphylla","Crassula subaphylla","Crassulaceae","Crassula subaphylla","Crassula subaphylla","Crassulaceae",1,0,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",1,1,0,0,0,0,4,0,0,"leaf",3,"l","i","p","Crassula subaphylla"
"Crassula thunbergiana","Crassula thunbergiana","Crassulaceae","Crassula thunbergiana","Crassula thunbergiana","Crassulaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,8,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,"leaf",1,1,0,0,0,0,1.2,0,0,"leaf",0,"l","i","p","Crassula thunbergiana"
"Crassula umbella","Crassula umbella","Crassulaceae","Crassula umbella","Crassula umbella","Crassulaceae",0,1,1,0,0,0,1,1,0,0,0,"Jul","Oct",NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",0,0,1,0,0,0,8,0,0,"leaf",0,"l","i","p","Crassula umbella"
"Crassula vaillantii","Crassula vaillantii","Crassulaceae","Crassula vaillantii","Crassula vaillantii","Crassulaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"leaf",1,0,0,0,0,0,0.4,0,0,"leaf",0,"l","i","p","Crassula vaillantii"
"Cromidon corrigioloides","Cromidon corrigioloides","Scrophulariaceae","Cromidon corrigioloides","Cromidon corrigioloides","Scrophulariaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,0.6,0,0,"leaf",0,"l","i","p","Cromidon corrigioloides"
"Cromidon varicalyx","Cromidon varicalyx","Scrophulariaceae","Cromidon varicalyx","Cromidon varicalyx","Scrophulariaceae",0,1,1,0,0,0,1,1,0,0,0,NA,NA,NA,NA,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,2,0,0,"leaf",0,"l","i","p","Cromidon varicalyx"
"Crossyne guttata","Crossyne guttata","Amaryllidaceae","Crossyne guttata","Crossyne guttata","Amaryllidaceae",1,0,1,0,0,1,1,1,1,1,0,"Feb","Apr",NA,NA,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"leaf",0,1,0,0,0,0,30,0,0,"leaf",3,"l","i","w","Crossyne guttata"
