"sample_ID","scientific_name_original","family_MG","scientific_name_WFO","scientific_name_authorship_WFO","family_WFO","latitude","longitude","subregion","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","lwc","succulence","ldmc","lwr","twig_fwc","quality_flag"
"726_33_baviaanskloof_ASH","Protea intonsa","Proteaceae","Protea intonsa","Rourke","Proteaceae",-33.53947,24.07983,"baviaanskloof","2",2011-07-26,"ASH",33,"2",7.27,18,0.2,0.3,1.275,0.681,0.273,NA,NA,375.515818431912,1.49450549450549,936.726272352132,0.400881057268722,90,NA,""
"726_34_baviaanskloof_ASH","Osteospermum scabrum","Asteraceae","Gibbaria scabra","(Thunb.) Norl.","Asteraceae",-33.53947,24.07983,"baviaanskloof","3",2011-07-26,"ASH",34,"53",5.25,1.42,0.08,0.08,0.8,0.329,0.102,0.163,0.081,194.285714285714,2.22549019607843,626.666666666667,0.310030395136778,17.75,1.01234567901235,""
"726_34_baviaanskloof_ASH","Osteospermum scabrum","Asteraceae","Gibbaria scabra","(Thunb.) Norl.","Asteraceae",-33.53947,24.07983,"baviaanskloof","2",2011-07-26,"ASH",34,"50",4.01,1.37,0.07,0.07,0.7,0.249,0.079,0.117,0.06,197.007481296758,2.15189873417722,620.947630922693,0.317269076305221,19.5714285714286,0.95,""
"726_34_baviaanskloof_ASH","Osteospermum scabrum","Asteraceae","Gibbaria scabra","(Thunb.) Norl.","Asteraceae",-33.53947,24.07983,"baviaanskloof","1",2011-07-26,"ASH",34,"50",3.7,1.16,0.08,0.08,0.8,0.227,0.078,0.138,0.072,210.810810810811,1.91025641025641,613.513513513514,0.343612334801762,14.5,0.916666666666667,""
"726_35_baviaanskloof_ASH","Protea repens","Proteaceae","Protea repens","(L.) L.","Proteaceae",-33.53947,24.07983,"baviaanskloof","3",2011-07-26,"ASH",35,"3",14.96,10.5,0.5,0.8,0.677,0.88,0.392,0.546,0.208,262.032085561497,1.24489795918367,588.235294117647,0.445454545454545,21,1.625,""
"726_35_baviaanskloof_ASH","Protea repens","Proteaceae","Protea repens","(L.) L.","Proteaceae",-33.53947,24.07983,"baviaanskloof","1",2011-07-26,"ASH",35,"4",16.2,11.5,0.5,0.8,0.554,1.227,0.575,1.072,0.459,354.938271604938,1.13391304347826,757.407407407408,0.468622656886716,23,1.33551198257081,""
"726_35_baviaanskloof_ASH","Protea repens","Proteaceae","Protea repens","(L.) L.","Proteaceae",-33.53947,24.07983,"baviaanskloof","2",2011-07-26,"ASH",35,"3",14.44,10.6,0.5,0.8,0.637,0.897,0.4,0.563,0.234,277.008310249307,1.2425,621.191135734072,0.445930880713489,21.2,1.40598290598291,""
"726_36_baviaanskloof_ASH","Pellaea calomelanos","Pteridaceae","Choristosoria calomelanos","(Sw.) Windham & Schuettp.","Pteridaceae",-33.53947,24.07983,"baviaanskloof","3",2011-07-26,"ASH",36,"8",3.39,1,0.6,0.9,0.398,0.134,0.048,0.015,0.013,141.592920353982,1.79166666666667,395.280235988201,0.358208955223881,1.66666666666667,0.153846153846154,""
"726_36_baviaanskloof_ASH","Pellaea calomelanos","Pteridaceae","Choristosoria calomelanos","(Sw.) Windham & Schuettp.","Pteridaceae",-33.53947,24.07983,"baviaanskloof","1",2011-07-26,"ASH",36,"6",2.94,1,0.5,0.9,0.354,0.1,0.033,0.019,0.015,112.244897959184,2.03030303030303,340.136054421769,0.33,2,0.266666666666667,""
"726_36_baviaanskloof_ASH","Pellaea calomelanos","Pteridaceae","Choristosoria calomelanos","(Sw.) Windham & Schuettp.","Pteridaceae",-33.53947,24.07983,"baviaanskloof","2",2011-07-26,"ASH",36,"5",3.14,0.9,0.6,0.9,0.442,0.115,0.038,0.028,0.02,121.019108280255,2.02631578947368,366.24203821656,0.330434782608696,1.5,0.4,""
"726_37_baviaanskloof_ASH","Leucospermum wittebergense","Proteaceae","Leucospermum wittebergense","Compton","Proteaceae",-33.53756,24.08003,"baviaanskloof","1",2011-07-26,"ASH",37,"12",8.91,2,0.4,0.6,0.365,0.276,0.106,0.125,0.047,118.967452300786,1.60377358490566,309.76430976431,0.384057971014493,5,1.65957446808511,""
"726_37_baviaanskloof_ASH","Leucospermum wittebergense","Proteaceae","Leucospermum wittebergense","Compton","Proteaceae",-33.53756,24.08003,"baviaanskloof","3",2011-07-26,"ASH",37,"12",10.03,2.7,0.4,0.5,0.344,0.297,0.126,0.375,0.165,125.623130608175,1.35714285714286,296.111665004985,0.424242424242424,6.75,1.27272727272727,""
"726_37_baviaanskloof_ASH","Leucospermum wittebergense","Proteaceae","Leucospermum wittebergense","Compton","Proteaceae",-33.53756,24.08003,"baviaanskloof","2",2011-07-26,"ASH",37,"10",8.81,2.5,0.4,0.6,0.373,0.27,0.116,0.467,0.192,131.6685584563,1.32758620689655,306.469920544835,0.42962962962963,6.25,1.43229166666667,""
"726_38_baviaanskloof_ASH","Aspalathus subtingens","Fabaceae","Aspalathus subtingens","Eckl. & Zeyh.","Fabaceae",-33.55082,24.07446,"baviaanskloof","2",2011-07-26,"ASH",38,"100",3.13,0.52,0.05,0.05,0.46,0.169,0.066,0.3,0.167,210.862619808307,1.56060606060606,539.936102236422,0.390532544378698,10.4,0.796407185628742,""
"726_38_baviaanskloof_ASH","Aspalathus subtingens","Fabaceae","Aspalathus subtingens","Eckl. & Zeyh.","Fabaceae",-33.55082,24.07446,"baviaanskloof","1",2011-07-26,"ASH",38,"110",4.71,0.7,0.07,0.07,0.524,0.266,0.095,0.297,0.174,201.698513800425,1.8,564.755838641189,0.357142857142857,10,0.706896551724138,""
"726_39_baviaanskloof_ASH","Eragrostis capensis","Poaceae","Eragrostis capensis","(Thunb.) Trin.","Poaceae",-33.55082,24.07446,"baviaanskloof","1",2011-07-26,"ASH",39,"4",20.11,17.1,0.3,0.5,0.222,0.471,0.186,0.186,0.085,92.4912978617603,1.53225806451613,234.211834908006,0.394904458598726,57,1.18823529411765,""
"726_39_baviaanskloof_ASH","Eragrostis capensis","Poaceae","Eragrostis capensis","(Thunb.) Trin.","Poaceae",-33.55082,24.07446,"baviaanskloof","2",2011-07-26,"ASH",39,"3",10.69,15.6,0.2,0.3,0.216,0.266,0.102,0.228,0.109,95.4162768942937,1.6078431372549,248.830682881197,0.383458646616541,78,1.09174311926606,""
"726_39_baviaanskloof_ASH","Eragrostis capensis","Poaceae","Eragrostis capensis","(Thunb.) Trin.","Poaceae",-33.55082,24.07446,"baviaanskloof","3",2011-07-26,"ASH",39,"2",7.26,15.2,0.2,0.4,0.213,0.201,0.094,0.202,0.088,129.476584022039,1.13829787234043,276.859504132231,0.467661691542289,76,1.29545454545455,""
"726_4_baviaanskloof_ASH","Passerina obtusifolia","Thymelaeaceae","Passerina obtusifolia","Thoday","Thymelaeaceae",-33.55142,24.04194,"baviaanskloof","3",2011-07-26,"ASH",4,"280",9.35,0.56,0.05,0.05,0.32,0.414,0.219,0.221,0.124,234.224598930481,0.89041095890411,442.780748663102,0.528985507246377,11.2,0.782258064516129,""
"726_4_baviaanskloof_ASH","Passerina obtusifolia","Thymelaeaceae","Passerina obtusifolia","Thoday","Thymelaeaceae",-33.55142,24.04194,"baviaanskloof","2",2011-07-26,"ASH",4,"180",5.81,0.47,0.08,0.09,0.238,0.24,0.133,0.36,0.193,228.915662650602,0.804511278195489,413.080895008606,0.554166666666667,5.875,0.865284974093264,""
"726_4_baviaanskloof_ASH","Passerina obtusifolia","Thymelaeaceae","Passerina obtusifolia","Thoday","Thymelaeaceae",-33.55142,24.04194,"baviaanskloof","1",2011-07-26,"ASH",4,"150",6.13,0.63,0.03,0.07,0.345,0.266,0.133,0.08,0.044,216.965742251224,1,433.931484502447,0.5,21,0.818181818181818,""
