scientific_name_original,scientific_name_MG,family_MG,scientific_name_WFO,scientific_name_authorship_WFO,family_WFO,perennial,annual,monoecious,dioecious,evergreen,deciduous,seasonally_apparent,seasonally_identifiable,flower_postfire,resprout_postfire,serotinous,flower_begin,flower_end,flower_begin_alt,flower_end_alt,max_height_cm,herb,geophyte,graminoid,low_shrub,mid_shrub,tall_shrub,tree,scrambler,liana,hemiparasite,parasite,missing_growthform_class,succulent,leaf_succulent,stem_succulent,other_succulent,lvs_linear,lvs_shape_other,lvs_oval,lvs_compound,lvs_lobed,lvs_dissected,leaf_length,virtually_no_leaves,stems_photosynthetic,functional_leaf,plant_longevity,flammability,pollination,dispersal,lvs_frond,lvs_cladode,lvs_phyllode,lvs_microphyll
Agathosma pungens,Agathosma pungens,Rutaceae,Agathosma pungens,(E.Mey. ex Sond.) Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,May,Nov,NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.5,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma recurvifolia,Agathosma recurvifolia,Rutaceae,Agathosma recurvifolia,Sond.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,May,Nov,NA,NA,150,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.503333333,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma serpyllacea,Agathosma serpyllacea,Rutaceae,Agathosma serpyllacea,Licht. ex Roem. & Schult.,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,May,Dec,NA,NA,80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.675,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma stilbeoides,Agathosma stilbeoides,Rutaceae,Agathosma stilbeoides,Dümmer,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Oct,Mar,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma unicarpellata,Agathosma unicarpellata,Rutaceae,Agathosma unicarpellata,(Fourc.) Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Apr,Dec,NA,NA,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.4,0,0,leaf,2,h,i,p,0,0,0,0
Agathosma venusta,Agathosma venusta,Rutaceae,Agathosma venusta,(Eckl. & Zeyh.) Pillans,Rutaceae,1,0,1,0,1,0,0,0,0,0,0,Jul,Feb,NA,NA,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.915,0,0,leaf,2,h,i,p,0,0,0,0
Agrostis lachnantha,Agrostis lachnantha,Poaceae,Lachnagrostis lachnantha,(Nees) Rúgolo & A.M.Molina,Poaceae,0,1,1,0,0,1,1,1,0,0,0,Oct,Mar,NA,NA,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,0,0,mixed,0,l,w,u,0,0,0,0
Aizoon paniculatum,Aizoon paniculatum,Aizoaceae,Aizoon paniculatum,L.,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Jul,Oct,NA,NA,50,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,NA,0,0,leaf,1,l,i,p,0,0,0,0
Aizoon rigidum,Aizoon rigidum,Aizoaceae,Aizoon rigidum,L.f.,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Sep,Oct,NA,NA,15,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,NA,0,0,leaf,1,l,i,p,0,0,0,0
Aizoon sarmentosum,Aizoon sarmentosum,Aizoaceae,Aizoon sarmentosum,L.f.,Aizoaceae,1,0,1,0,1,0,0,1,0,0,0,Jun,Oct,NA,NA,50,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,NA,0,0,leaf,1,l,i,p,0,0,0,0
