"","field_1","NewUID","finalname","family_GM","latitude","longitude","region","date","collector","sample","height_cm","canopy_axis_1_cm","canopy_axis_2_cm","canopy_area_cm2","branch_order","pubescence","percent_N","percent_C","C_to_N_ratio","d_15N_14N","d_13C_12C","Chili","Elevation","TopoDiv","geometry"
"52",52,"729_1_HTR","Stachys rugosa","LAMIACEAE",-31.42739,19.7757,"HTR",729,"BHR",1,44,80,70,4398.229715,"3","B","2.394518277","46.07401862","19.24145623","2.432011381","-28.12659449",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"53",53,"729_20_HTR","Hermannia cuneifolia","MALVACEAE",-31.42854,19.77599,"HTR",729,"BHR",20,30,80,50,3141.592654,"3","B","2.487213177","43.1223864","17.33763185","0.984094062","-28.32507353",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"54",54,"729_21_HTR","Microloma sagittatum","APOCYNACEAE",-31.42854,19.77599,"HTR",729,"BHR",21,30,18,2,28.27433388,"0","B","2.384552911","43.54457705","18.2611075","4.644224616","-26.75463449",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"55",55,"729_22_HTR","NA","NA",-31.42854,19.77599,"HTR",729,"BHR",22,50,110,70,6047.565858,"4","N","1.076405579","42.23764753","39.23952863","4.036136681","-29.24346279",5550,1070.10909905454,16.6409950256348,c(19.77599, -31.42854)
"56",56,"729_2_HTR","Pteronia glauca","ASTERACEAE",-31.42739,19.7757,"HTR",729,"BHR",2,42,86,72,4863.185428,"4","L","1.330707186","45.2183777","33.98071204","1.478184161","-28.68517107",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"57",57,"729_3_HTR","Massonia depressa","HYACINTHACEAE",-31.42739,19.7757,"HTR",729,"BHR",3,1,9,5,35.34291735,"0","N","1.768525691","37.60349063","21.26262051","-0.72129832","-27.09337771",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"58",58,"729_4_HTR","Tylecodon wallichii","CRASSULACEAE",-31.42739,19.7757,"HTR",729,"BHR",4,41,55,38,1641.482162,"3","N","1.114713094","35.96390605","32.26292599","1.424323281","-16.99795809",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"59",59,"729_5_HTR","Melolobium candicans","FABACEAE",-31.42739,19.7757,"HTR",729,"BHR",5,35,40,32,1005.309649,"4","B","3.105773782","43.88828721","14.13119251","-0.900508157","-26.91251481",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"60",60,"729_6_HTR","Diospyros austro-africana","EBENACEAE",-31.42739,19.7757,"HTR",729,"BHR",6,125,190,170,25368.36068,"4","L","0.986391026","49.61364386","50.29815008","1.143267416","-28.18455056",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"61",61,"729_7_HTR","Euryops lateriflorus","ASTERACEAE",-31.42739,19.7757,"HTR",729,"BHR",7,125,120,110,10367.25576,"3","N","0.819737752","46.59276442","56.83862224","1.097240846","-30.21900836",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"62",62,"729_8_HTR","Euphorbia mauritanica","EUPHORBIACEAE",-31.42739,19.7757,"HTR",729,"BHR",8,90,114,90,8058.185156,"4","N","2.031897482","44.39612347","21.84958831","0.704546066","-19.28736461",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"63",63,"729_9_HTR","Antimima gracillima","AIZOACEAE",-31.42739,19.7757,"HTR",729,"BHR",9,25,25,20,392.6990817,"2","N","1.113370442","36.75325886","33.01080887","0.873963016","-25.34170554",6000,1080.78108462988,16.6409950256348,c(19.7757, -31.42739)
"64",64,"815_10_HTR","Oxalis obtusa","OXALIDACEAE",-31.28217,19.03465,"HTR",815,"BHR",10,5,4,2,6.283185307,"1","B","2.602212829","37.7461522","14.50540547","0.594030754","-31.4262011",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
"65",65,"815_11_HTR","Pelargonium scabrum","GERANIACEAE",-31.28217,19.03465,"HTR",815,"BHR",11,30,30,20,471.238898,"3","B","1.985534123","41.52115468","20.91183133","2.499506812","-27.63755156",6450,782.93566902721,2.67857480049133,c(19.03465, -31.28217)
