"species","genus_species_GM","family_GM","family_POSA","family_ITIS","perennial","annual","lifecycle_POSA","monoecious","dioecious","evergreen","deciduous","seasonally_apparent","seasonally_identifiable","flower_postfire","resprout_postfire","serotinous","flower_begin","flower_end","flower_begin_alt","flower_end_alt","max_height_cm","herb","geophyte","graminoid","low_shrub","mid_shrub","tall_shrub","tree","scrambler","liana","hemiparasite","parasite","missing_growthform_class","succulent","leaf_succulent","stem_succulent","other_succulent","leaf_type","lvs_linear","lvs_intermediate","lvs_oval","lvs_compound","lvs_lobed","lvs_dissected","leaf_length","virtually_no_leaves","stems_photosynthetic","functional_leaf","functional_twig","plant_longevity","flammability","pollination","dispersal","GM_description"
"Adromischus cristatus","Adromischus cristatus","CRASSULACEAE","CRASSULACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Mar","","",40,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",3,"l","i","p","Succulent perennial to 40 cm, with tufts of fine reddish aerial roots. Leaves obovoid-cuneate, undulate at the end, often glandular-hairy. Flowers in a spicate cyme, white, cylindric, grooved, lobes ovate, anthers included. Dec.--Mar. Stony slopes, SE (Uniondale to E Cape)."
"Adromischus maculatus","Adromischus maculatus","CRASSULACEAE","CRASSULACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Dec","Jan","","",35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",0,0,1,0,0,0,6.090909091,0,0,"leaf","",3,"l","i","p","Like A. triflorus but marginal ridge of leaf continuing to the base. Dec.--Jan. Sandstone slopes, NW, KM (Swartruggens through Worcester to Ladismith)."
"Adromischus triflorus","Adromischus triflorus","CRASSULACEAE","CRASSULACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Nov","Jan","","",35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,"Leaf",0,0,1,0,0,0,NA,0,0,"leaf","",3,"l","i","p","Succulent perennial to 35 cm. Leaves obovate-cuneate. Flowers in a spicate cyme, pinkish and red, cylindric, not grooved, flexed outwards at the tip in bud, lobes elliptic, anthers included. Nov.--Jan. Sandstone slopes, NW, KM, LB, SE (Pakhuis Mts through Little Karoo to Mossel Bay and Steytlerville)."
"Agapanthus praecox","Agapanthus praecox","AGAPANTHACEAE","AGAPANTHACEAE","",1,0,"Perennial",1,0,0,1,1,0,0,1,0,"Dec","Feb","","",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,NA,0,0,"leaf","",3,"l","i","w","Rhizomatous evergreen geophyte, 50--100 cm. Leaves suberect, strap-shaped. Flowers broadly funnel-shaped, blue to white, thin in texture. Dec.--Feb. SE (Knysna to E Cape)."
"Agapanthus walshii","Agapanthus africanus","AGAPANTHACEAE","AGAPANTHACEAE","",1,0,"Perennial",1,0,0,1,1,0,1,1,0,"Dec","Apr","","",70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,13.86,0,0,"leaf","",3,"l","i","w","Rhizomatous evergreen geophyte, 25--70 cm. Leaves suberect, strap-shaped. Flowers broadly funnel-shaped, deep blue, thick in texture. Dec.--Apr., mainly after fire. Rocky sandstone slopes, SW, LB, AP (Cape Peninsula to Swellendam)."
"Agathosma anomala","Agathosma anomala","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,0,0,"Oct","Apr","","",30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",0,1,0,0,0,0,0.8,0,0,"leaf","",2,"h","i","p","Robust, cushion-forming shrublet to 30 cm. Flowers in dense heads, creamy white. Fruits 3-chambered. Oct.--Apr. Rocky mid to upper slopes, SW (Worcester to Caledon)."
"Agathosma betulina","Agathosma betulina","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jun","Nov","","",200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Leaf",0,0,1,0,0,0,1.3,0,0,"leaf","",3,"h","i","p","Resprouting, broad-leaved shrub to over 2 m, fragrant. Flowers large, usually solitary axillary, white to purplish pink. Fruits 5-chambered. June--Nov. Rocky sandstone slopes, NW (Bokkeveld to Grootwinterhoek Mts)."
"Agathosma bicolor","Agathosma bicolor","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Aug","Sep","","",35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,1,0,0,"leaf","",2,"h","i","p","Many-stemmed, sprawling, slender shrublet to 35 cm. Flowers in lax terminal clusters, white with red buds. Fruits 3-chambered, shaggy. Aug.--Sept. Mid to upper rocky sandstone slopes, NW (Pakhuis Mts)."
"Agathosma bifida","Agathosma bifida","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jan","Dec","","",80,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,0,0,0,0,0,0.796,0,0,"leaf","",3,"h","i","p","Single-stemmed or resprouting, usually densely leafy shrublet to 80 cm. Flowers in lax terminal clusters, white to intense purple. Fruits (2--)3-chambered. Jan.--Dec. Sandy mountain slopes and flats, NW, SW, AP, KM, LB (Bokkeveld to Outeniqua Mts)."
"Agathosma bisulca","Agathosma bisulca","RUTACEAE","RUTACEAE","",1,0,"Perennial",1,0,1,0,0,0,0,1,0,"Jun","Nov","","",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Leaf",1,1,0,0,0,0,1.5,0,0,"leaf","",2,"h","i","p","Dense, rounded shrub to over 1 m, branching at soil level. Flowers in lax terminal clusters, white. Fruits 3-chambered. June--Nov. Lower and mid slopes and flats in deep sand, NW, SW (Bokkeveld Mts to Silverstroom Strand)."
