"","NewUID","finalname","family_GM","latitude","longitude","region","replicate","date","collector","sample","num_leaves","leaf_area_cm2","leaf_length_cm","avg_leaf_width_cm","max_leaf_width_cm","leaf_thickness_mm","leaf_fresh_wgt_g","leaf_dry_wgt_g","twig_fresh_g","twig_dry_g","lma","fwc","succulence","ldmc","lwr","twig_fwc"
"11","726_12_BK","Rhoicissus digitata","VITACEAE",-33.55094,24.04128,"Baviaanksloof","2","726","ASH","12","6",6.91,2,0.5,0.8,0.306,0.226,0.075,0.193,0.085,0.010853835,2.013333333,0.021852388,0.331858407,4,1.270588235
"12","726_12_BK","Rhoicissus digitata","VITACEAE",-33.55094,24.04128,"Baviaanksloof","1","726","ASH","12","6",5.8,2.1,0.5,0.9,0.367,0.212,0.073,0.28,0.12,0.012586207,1.904109589,0.023965517,0.344339623,4.2,1.333333333
"13","726_12_BK","Rhoicissus digitata","VITACEAE",-33.55094,24.04128,"Baviaanksloof","3","726","ASH","12","6",8.38,2.3,0.6,0.8,0.353,0.292,0.102,0.239,0.105,0.012171838,1.862745098,0.022673031,0.349315068,3.833333333,1.276190476
"14","726_13_BK","Indigofera denudata","FABACEAE",-33.55094,24.04128,"Baviaanksloof","3","726","ASH","13","42",4.43,0.78,0.22,0.23,0.282,0.144,0.059,0.168,0.099,0.013318284,1.440677966,0.019187359,0.409722222,3.545454545,0.696969697
"15","726_13_BK","Indigofera denudata","FABACEAE",-33.55094,24.04128,"Baviaanksloof","2","726","ASH","13","60",4.06,0.66,0.16,0.2,0.26,0.131,0.048,0.093,0.054,0.01182266,1.729166667,0.02044335,0.366412214,4.125,0.722222222
"16","726_13_BK","Indigofera denudata","FABACEAE",-33.55094,24.04128,"Baviaanksloof","1","726","ASH","13","45",4.46,0.67,0.26,0.32,0.2,0.12,0.046,0.114,0.068,0.010313901,1.608695652,0.016591928,0.383333333,2.576923077,0.676470588
"17","726_14_BK","Hermannia involucrata","MALVACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","14","5",4.14,1.6,0.5,0.7,0.595,0.134,0.057,0.111,0.061,0.013768116,1.350877193,0.018599034,0.425373134,3.2,0.819672131
"18","726_14_BK","Hermannia involucrata","MALVACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","14","5",5.39,1.8,0.6,0.9,0.592,0.171,0.068,0.122,0.055,0.012615955,1.514705882,0.019109462,0.397660819,3,1.218181818
"19","726_14_BK","Hermannia involucrata","MALVACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","14","5",NA,2.2,0.7,1,0.511,0.29,0.107,0.107,0.046,NA,1.710280374,NA,0.368965517,3.142857143,1.326086957
"20","726_15_BK","Pentaschistis eriostoma","POACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","15","1",7.72,35.4,0.2,0.4,0.442,0.506,0.274,0.238,0.092,0.035492228,0.846715328,0.030051813,0.541501976,177,1.586956522
"21","726_15_BK","Pentaschistis eriostoma","POACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","15","1",8,36.1,0.2,0.4,0.457,0.516,0.28,0.358,0.099,0.035,0.842857143,0.0295,0.542635659,180.5,2.616161616
"22","726_15_BK","Pentaschistis eriostoma","POACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","15","1",8.43,37.9,0.2,0.4,0.418,0.442,0.231,0.55,0.274,0.027402135,0.913419913,0.025029656,0.522624434,189.5,1.00729927
"23","726_16_BK","Osteospermum polygaloides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","16","6",10.07,2.7,0.9,1.3,1.333,0.959,0.214,0.206,0.11,0.021251241,3.481308411,0.073982125,0.223149114,3,0.872727273
"24","726_16_BK","Osteospermum polygaloides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","16","5",8.58,1.8,0.9,1.2,1.155,0.785,0.171,1.067,0.548,0.01993007,3.590643275,0.071561772,0.217834395,2,0.947080292
"25","726_16_BK","Osteospermum polygaloides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","16","10",5.5,1.3,0.5,0.6,0.761,0.398,0.084,0.692,0.333,0.015272727,3.738095238,0.057090909,0.211055276,2.6,1.078078078
"26","726_17_BK","Lobelia coronopifolia","CAMPANULACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","17","11",2.27,2,0.1,0.2,0.378,0.091,0.028,0.263,0.141,0.012334802,2.25,0.027753304,0.307692308,20,0.865248227
"27","726_17_BK","Lobelia coronopifolia","CAMPANULACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","17","12",1.98,1.9,0.1,0.2,0.371,0.091,0.027,0.182,0.092,0.013636364,2.37037037,0.032323232,0.296703297,19,0.97826087
"28","726_17_BK","Lobelia coronopifolia","CAMPANULACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","17","11",2.71,2.5,0.1,0.2,0.344,0.126,0.033,0.191,0.093,0.012177122,2.818181818,0.034317343,0.261904762,25,1.053763441
"29","726_18_BK","Aristea pusilla","IRIDACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","18","1",2.43,9.8,0.2,0.3,0.398,0.076,0.022,NA,NA,0.009053498,2.454545455,0.022222222,0.289473684,49,NA
"30","726_18_BK","Aristea pusilla","IRIDACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","18","1",3.63,12.8,0.3,0.4,0.547,0.157,0.062,NA,NA,0.01707989,1.532258065,0.026170799,0.394904459,42.66666667,NA
"31","726_18_BK","Aristea pusilla","IRIDACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","18","1",2.31,7.7,0.3,0.4,0.489,0.097,0.038,NA,NA,0.016450216,1.552631579,0.025541126,0.391752577,25.66666667,NA
"32","726_19_BK","Helichrysum nudifolium","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","19","1",33.11,15.7,2.1,3.7,0.555,1.585,0.419,NA,NA,0.012654787,2.782816229,0.035215947,0.264353312,7.476190476,NA
"33","726_19_BK","Helichrysum nudifolium","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","19","1",13.47,10.9,1.2,2.5,0.738,0.706,0.24,NA,NA,0.017817372,1.941666667,0.034595397,0.339943343,9.083333333,NA
"34","726_2_BK","Panicum maximum","POACEAE",-33.55142,24.04194,"Baviaanksloof","2","726","ASH","2","3",25.81,16.8,0.5,0.8,0.109,0.36,0.096,0.22,0.096,0.003719489,2.75,0.010228594,0.266666667,33.6,1.291666667
"35","726_2_BK","Panicum maximum","POACEAE",-33.55142,24.04194,"Baviaanksloof","3","726","ASH","2","4",19.79,11.2,0.5,0.8,0.186,0.278,0.07,0.359,0.115,0.00353714,2.971428571,0.010510359,0.251798561,22.4,2.12173913
"36","726_2_BK","Panicum maximum","POACEAE",-33.55142,24.04194,"Baviaanksloof","1","726","ASH","2","3",32.92,18.1,0.6,0.8,0.108,0.516,0.136,0.487,0.138,0.004131227,2.794117647,0.011543135,0.263565891,30.16666667,2.528985507
"37","726_20_BK","Gazania krebsiana","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","20","2",3.59,8.9,0.2,0.3,1.253,0.25,0.051,NA,NA,0.014206128,3.901960784,0.055431755,0.204,44.5,NA
"38","726_20_BK","Gazania krebsiana","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","20","2",5.07,12.6,0.2,0.4,1.096,0.41,0.071,NA,NA,0.014003945,4.774647887,0.066863905,0.173170732,63,NA
"39","726_20_BK","Gazania krebsiana","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","20","2",4.31,9.6,0.2,0.5,1.197,0.282,0.06,NA,NA,0.013921114,3.7,0.051508121,0.212765957,48,NA
"40","726_21_BK","Aspalathus kougaensis","FABACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","21","77",3.56,0.76,0.05,0.05,0.5,0.125,0.073,0.569,0.342,0.020505618,0.712328767,0.014606742,0.584,15.2,0.66374269
"41","726_21_BK","Aspalathus kougaensis","FABACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","21","92",3.96,0.083,0.04,0.04,0.4,0.108,0.063,0.288,0.167,0.015909091,0.714285714,0.011363636,0.583333333,2.075,0.724550898
"42","726_21_BK","Aspalathus kougaensis","FABACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","21","68",3.78,0.89,0.06,0.06,0.6,0.116,0.068,0.377,0.218,0.017989418,0.705882353,0.012698413,0.586206897,14.83333333,0.729357798
"43","726_22_BK","Euchaetis vallis-simiae","RUTACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","22","80",6.79,0.63,0.25,0.26,0.501,0.302,0.141,0.414,0.228,0.020765832,1.141843972,0.02371134,0.466887417,2.52,0.815789474
"44","726_22_BK","Euchaetis vallis-simiae","RUTACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","22","80",5.82,0.56,0.24,0.26,0.52,0.242,0.113,0.385,0.212,0.019415808,1.14159292,0.022164948,0.466942149,2.333333333,0.816037736
"45","726_22_BK","Euchaetis vallis-simiae","RUTACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","22","75",6.46,0.64,0.25,0.27,0.437,0.29,0.125,0.184,0.104,0.019349845,1.32,0.025541796,0.431034483,2.56,0.769230769
"46","726_23_BK","Selago glomerata","SCROPHULARIACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","23","85",4,0.51,0.16,0.16,0.975,0.312,0.137,0.226,0.132,0.03425,1.277372263,0.04375,0.439102564,3.1875,0.712121212
"47","726_23_BK","Selago glomerata","SCROPHULARIACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","23","80",4.91,0.89,0.1,0.1,0.621,0.246,0.093,0.279,0.163,0.018940937,1.64516129,0.031160896,0.37804878,8.9,0.711656442
"48","726_23_BK","Selago glomerata","SCROPHULARIACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","23","100",4.86,0.5,0.11,0.11,0.601,0.288,0.116,0.152,0.079,0.023868313,1.482758621,0.035390947,0.402777778,4.545454545,0.924050633
"49","726_24_BK","Disparago ericoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","24","180",3.66,0.43,0.05,0.05,0.135,0.128,0.059,0.181,0.099,0.016120219,1.169491525,0.018852459,0.4609375,8.6,0.828282828
"50","726_24_BK","Disparago ericoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","24","200",3.2,0.31,0.04,0.04,0.138,0.123,0.062,0.295,0.164,0.019375,0.983870968,0.0190625,0.504065041,7.75,0.798780488
"51","726_24_BK","Disparago ericoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","24","140",2.53,0.35,0.05,0.05,0.145,0.109,0.053,0.189,0.108,0.020948617,1.056603774,0.022134387,0.486238532,7,0.75
"52","726_25_BK","Asparagus africanus","ASPARAGACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","25","220",3.47,0.56,0.04,0.04,0.28,0.148,0.064,0.139,0.09,0.018443804,1.3125,0.024207493,0.432432432,14,0.544444444
"53","726_25_BK","Asparagus africanus","ASPARAGACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","25","210",1.47,0.36,0.03,0.03,0.284,0.062,0.026,0.107,0.076,0.017687075,1.384615385,0.024489796,0.419354839,12,0.407894737
"54","726_25_BK","Asparagus africanus","ASPARAGACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","25","190",2.91,0.52,0.04,0.04,0.336,0.113,0.046,0.177,0.012,0.01580756,1.456521739,0.023024055,0.407079646,13,13.75
"55","726_26_BK","Aspalathus collina","FABACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","26","80",2.62,0.43,0.09,0.1,0.513,0.183,0.081,0.201,0.122,0.030916031,1.259259259,0.038931298,0.442622951,4.777777778,0.647540984
"56","726_26_BK","Aspalathus collina","FABACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","26","75",2.59,0.45,0.08,0.09,0.513,0.19,0.092,0.218,0.129,0.035521236,1.065217391,0.037837838,0.484210526,5.625,0.689922481
"57","726_26_BK","Aspalathus collina","FABACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","26","80",2.38,0.42,0.07,0.08,0.479,0.169,0.072,0.148,0.075,0.030252101,1.347222222,0.040756303,0.426035503,6,0.973333333
"58","726_27_BK","Ursinia chrysanthemoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","27","52",5.11,0.8,0.15,0.3,0.662,0.34,0.081,0.224,0.12,0.015851272,3.197530864,0.050684932,0.238235294,5.333333333,0.866666667
"59","726_27_BK","Ursinia chrysanthemoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","27","60",4.27,0.8,0.1,0.3,0.594,0.276,0.08,0.233,0.126,0.018735363,2.45,0.045901639,0.289855072,8,0.849206349
"60","726_27_BK","Ursinia chrysanthemoides","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","27","58",5.64,1,0.1,0.2,0.638,0.37,0.115,0.176,0.093,0.020390071,2.217391304,0.045212766,0.310810811,10,0.892473118
"61","726_28_BK","Struthiola argentea","THYMELAEACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","28","10",6.68,1.3,0.5,0.7,0.477,0.234,0.092,0.312,0.131,0.013772455,1.543478261,0.021257485,0.393162393,2.6,1.381679389
"62","726_28_BK","Struthiola argentea","THYMELAEACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","28","10",4.11,0.9,0.4,0.5,0.392,0.15,0.054,0.179,0.079,0.013138686,1.777777778,0.023357664,0.36,2.25,1.265822785
"63","726_28_BK","Struthiola argentea","THYMELAEACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","28","10",4.5,1,0.5,0.6,0.417,0.161,0.063,0.432,0.197,0.014,1.555555556,0.021777778,0.391304348,2,1.192893401
"64","726_29_BK","Hertia kraussii","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","29","5",7.11,2.1,0.8,1,1.141,0.506,0.063,0.209,0.082,0.008860759,7.031746032,0.06230661,0.124505929,2.625,1.548780488
"65","726_29_BK","Hertia kraussii","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","29","6",6.8,1.6,0.6,0.9,0.467,0.29,0.045,0.174,0.075,0.006617647,5.444444444,0.036029412,0.155172414,2.666666667,1.32
"66","726_29_BK","Hertia kraussii","ASTERACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","29","6",7.57,1.8,0.8,1,0.521,0.338,0.047,0.271,0.132,0.006208719,6.191489362,0.038441215,0.139053254,2.25,1.053030303
"67","726_3_BK","Crassula cultrata","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","1","726","ASH","3","1",7.29,6.5,1.1,1.7,3.3,1.819,0.075,0.781,0.121,0.010288066,23.25333333,0.239231824,0.041231446,5.909090909,5.454545455
"68","726_3_BK","Crassula cultrata","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","2","726","ASH","3","1",8.51,7.1,1.2,1.8,3.1,2.04,0.068,0.504,0.099,0.007990599,29,0.23172738,0.033333333,5.916666667,4.090909091
"69","726_3_BK","Crassula cultrata","CRASSULACEAE",-33.55142,24.04194,"Baviaanksloof","3","726","ASH","3","1",5.37,5,1.1,1.5,3.9,1.53,0.075,0.418,0.085,0.01396648,19.4,0.270949721,0.049019608,4.545454545,3.917647059
"70","726_30_BK","Pelargonium myrrhifolium","GERANIACEAE",-33.54049,24.07991,"Baviaanksloof","3","726","ASH","30","3",8.89,6.6,0.4,2.2,0.349,0.478,0.182,0.203,0.083,0.020472441,1.626373626,0.033295838,0.380753138,16.5,1.445783133
"71","726_30_BK","Pelargonium myrrhifolium","GERANIACEAE",-33.54049,24.07991,"Baviaanksloof","2","726","ASH","30","2",6.9,5.8,0.9,1.6,0.407,0.407,0.148,0.122,0.047,0.021449275,1.75,0.037536232,0.363636364,6.444444444,1.595744681
"72","726_30_BK","Pelargonium myrrhifolium","GERANIACEAE",-33.54049,24.07991,"Baviaanksloof","1","726","ASH","30","3",5.13,7.8,0.3,1.1,0.309,0.259,0.091,0.082,0.029,0.017738791,1.846153846,0.032748538,0.351351351,26,1.827586207
"73","726_31_BK","Hibiscus aethiopicus","MALVACEAE",-33.53947,24.07983,"Baviaanksloof","1","726","ASH","31","3",8.83,2.5,1.2,1.5,0.059,0.356,0.092,0.071,0.029,0.010419026,2.869565217,0.029898075,0.258426966,2.083333333,1.448275862
"74","726_31_BK","Hibiscus aethiopicus","MALVACEAE",-33.53947,24.07983,"Baviaanksloof","2","726","ASH","31","3",11.59,4,1.1,1.4,0.529,0.693,0.125,0.129,0.055,0.01078516,4.544,0.049007765,0.18037518,3.636363636,1.345454545
"75","726_31_BK","Hibiscus aethiopicus","MALVACEAE",-33.53947,24.07983,"Baviaanksloof","3","726","ASH","31","3",10.03,3.3,0.9,1.3,0.526,0.385,0.109,0.075,0.035,0.010867398,2.532110092,0.027517448,0.283116883,3.666666667,1.142857143
"76","726_32_BK","Gnidia juniperifolia","THYMELAEACEAE",-33.53947,24.07983,"Baviaanksloof","1","726","ASH","32","10",3.15,1.1,0.3,0.5,0.343,0.104,0.034,0.22,0.116,0.010793651,2.058823529,0.022222222,0.326923077,3.666666667,0.896551724
"77","726_32_BK","Gnidia juniperifolia","THYMELAEACEAE",-33.53947,24.07983,"Baviaanksloof","2","726","ASH","32","10",3.93,1,0.4,0.5,0.34,0.115,0.039,0.097,0.053,0.009923664,1.948717949,0.019338422,0.339130435,2.5,0.830188679
"78","726_32_BK","Gnidia juniperifolia","THYMELAEACEAE",-33.53947,24.07983,"Baviaanksloof","3","726","ASH","32","10",3.2,1,0.3,0.5,0.353,0.101,0.037,0.134,0.071,0.0115625,1.72972973,0.02,0.366336634,3.333333333,0.887323944
"79","726_33_BK","Protea intonsa","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof","1","726","ASH","33","2",7.06,16,0.2,0.3,1.256,0.84,0.406,NA,NA,0.057507082,1.068965517,0.061473088,0.483333333,80,NA
"80","726_33_BK","Protea intonsa","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof","2","726","ASH","33","2",7.27,18,0.2,0.3,1.275,0.681,0.273,NA,NA,0.037551582,1.494505495,0.056121045,0.400881057,90,NA
"81","726_34_BK","Gibbaria scabra","ASTERACEAE",-33.53947,24.07983,"Baviaanksloof","3","726","ASH","34","53",5.25,1.42,0.08,0.08,0.8,0.329,0.102,0.163,0.081,0.019428571,2.225490196,0.043238095,0.310030395,17.75,1.012345679
"82","726_34_BK","Gibbaria scabra","ASTERACEAE",-33.53947,24.07983,"Baviaanksloof","2","726","ASH","34","50",4.01,1.37,0.07,0.07,0.7,0.249,0.079,0.117,0.06,0.019700748,2.151898734,0.042394015,0.317269076,19.57142857,0.95
"83","726_34_BK","Gibbaria scabra","ASTERACEAE",-33.53947,24.07983,"Baviaanksloof","1","726","ASH","34","50",3.7,1.16,0.08,0.08,0.8,0.227,0.078,0.138,0.072,0.021081081,1.91025641,0.04027027,0.343612335,14.5,0.916666667
"84","726_35_BK","Protea repens","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof","3","726","ASH","35","3",14.96,10.5,0.5,0.8,0.677,0.88,0.392,0.546,0.208,0.026203209,1.244897959,0.032620321,0.445454545,21,1.625
"85","726_35_BK","Protea repens","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof","1","726","ASH","35","4",16.2,11.5,0.5,0.8,0.554,1.227,0.575,1.072,0.459,0.035493827,1.133913043,0.040246914,0.468622657,23,1.335511983
"86","726_35_BK","Protea repens","PROTEACEAE",-33.53947,24.07983,"Baviaanksloof","2","726","ASH","35","3",14.44,10.6,0.5,0.8,0.637,0.897,0.4,0.563,0.234,0.027700831,1.2425,0.034418283,0.445930881,21.2,1.405982906
"87","726_36_BK","Pellaea calomelanos","PTERIDACEAE",-33.53947,24.07983,"Baviaanksloof","3","726","ASH","36","8",3.39,1,0.6,0.9,0.398,0.134,0.048,0.015,0.013,0.014159292,1.791666667,0.025368732,0.358208955,1.666666667,NA
"88","726_36_BK","Pellaea calomelanos","PTERIDACEAE",-33.53947,24.07983,"Baviaanksloof","1","726","ASH","36","6",2.94,1,0.5,0.9,0.354,0.1,0.033,0.019,0.015,0.01122449,2.03030303,0.022789116,0.33,2,NA
"89","726_36_BK","Pellaea calomelanos","PTERIDACEAE",-33.53947,24.07983,"Baviaanksloof","2","726","ASH","36","5",3.14,0.9,0.6,0.9,0.442,0.115,0.038,0.028,0.02,0.012101911,2.026315789,0.024522293,0.330434783,1.5,0.4
"90","726_37_BK","Leucospermum wittebergense","PROTEACEAE",-33.53756,24.08003,"Baviaanksloof","1","726","ASH","37","12",8.91,2,0.4,0.6,0.365,0.276,0.106,0.125,0.047,0.011896745,1.603773585,0.019079686,0.384057971,5,1.659574468
"91","726_37_BK","Leucospermum wittebergense","PROTEACEAE",-33.53756,24.08003,"Baviaanksloof","3","726","ASH","37","12",10.03,2.7,0.4,0.5,0.344,0.297,0.126,0.375,0.165,0.012562313,1.357142857,0.017048853,0.424242424,6.75,1.272727273
"92","726_37_BK","Leucospermum wittebergense","PROTEACEAE",-33.53756,24.08003,"Baviaanksloof","2","726","ASH","37","10",8.81,2.5,0.4,0.6,0.373,0.27,0.116,0.467,0.192,0.013166856,1.327586207,0.017480136,0.42962963,6.25,1.432291667
"93","726_38_BK","Aspalathus subtingens","FABACEAE",-33.55082,24.07446,"Baviaanksloof","2","726","ASH","38","100",3.13,0.52,0.05,0.05,0.46,0.169,0.066,0.3,0.167,0.021086262,1.560606061,0.032907348,0.390532544,10.4,0.796407186
"94","726_38_BK","Aspalathus subtingens","FABACEAE",-33.55082,24.07446,"Baviaanksloof","1","726","ASH","38","110",4.71,0.7,0.07,0.07,0.524,0.266,0.095,0.297,0.174,0.020169851,1.8,0.036305732,0.357142857,10,0.706896552
"95","726_39_BK","Eragrostis capensis","POACEAE",-33.55082,24.07446,"Baviaanksloof","1","726","ASH","39","4",20.11,17.1,0.3,0.5,0.222,0.471,0.186,0.186,0.085,0.00924913,1.532258065,0.014172054,0.394904459,57,1.188235294
"96","726_39_BK","Eragrostis capensis","POACEAE",-33.55082,24.07446,"Baviaanksloof","2","726","ASH","39","3",10.69,15.6,0.2,0.3,0.216,0.266,0.102,0.228,0.109,0.009541628,1.607843137,0.015341441,0.383458647,78,1.091743119
"97","726_39_BK","Eragrostis capensis","POACEAE",-33.55082,24.07446,"Baviaanksloof","3","726","ASH","39","2",7.26,15.2,0.2,0.4,0.213,0.201,0.094,0.202,0.088,0.012947658,1.138297872,0.014738292,0.467661692,76,1.295454545
"98","726_4_BK","Passerina obtusifolia","THYMELAEACEAE",-33.55142,24.04194,"Baviaanksloof","3","726","ASH","4","280",9.35,0.56,0.05,0.05,0.32,0.414,0.219,0.221,0.124,0.02342246,0.890410959,0.020855615,0.528985507,11.2,0.782258065
"99","726_4_BK","Passerina obtusifolia","THYMELAEACEAE",-33.55142,24.04194,"Baviaanksloof","2","726","ASH","4","180",5.81,0.47,0.08,0.09,0.238,0.24,0.133,0.36,0.193,0.022891566,0.804511278,0.018416523,0.554166667,5.875,0.865284974
"100","726_4_BK","Passerina obtusifolia","THYMELAEACEAE",-33.55142,24.04194,"Baviaanksloof","1","726","ASH","4","150",6.13,0.63,0.03,0.07,0.345,0.266,0.133,0.08,0.044,0.021696574,1,0.021696574,0.5,21,0.818181818
"101","726_40_BK","Polygala illepida","POLYGALACEAE",-33.55082,24.07446,"Baviaanksloof","3","726","ASH","40","80",3.61,0.8,0.07,0.08,0.309,0.13,0.058,0.209,0.119,0.016066482,1.24137931,0.019944598,0.446153846,11.42857143,0.756302521
"102","726_40_BK","Polygala illepida","POLYGALACEAE",-33.55082,24.07446,"Baviaanksloof","2","726","ASH","40","85",3.12,0.7,0.08,0.09,0.349,0.106,0.046,0.342,0.188,0.01474359,1.304347826,0.019230769,0.433962264,8.75,0.819148936
"103","726_40_BK","Polygala illepida","POLYGALACEAE",-33.55082,24.07446,"Baviaanksloof","1","726","ASH","40","70",3.23,0.87,0.07,0.08,0.221,0.092,0.037,0.372,0.198,0.011455108,1.486486486,0.017027864,0.402173913,12.42857143,0.878787879
"104","726_41_BK","Pentaschistis eriostoma","POACEAE",-33.55082,24.07446,"Baviaanksloof","1","726","ASH","41","2",11.42,32.3,0.2,0.3,0.427,0.734,0.409,0.48,0.218,0.035814361,0.794621027,0.028458844,0.557220708,161.5,1.201834862
