NewUID,sample_id,replicate,ScientificName_WFO,twig_fwc,trait_ratio,twig_fresh_g,comp1_dev,twig_dry_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
816_18_cape_point,816_18_cape_point_c,3,Lobelia setacea,0.476190476,0.0965547508904496,0.062,0.33120590847537323,0.042,1.5343364276511884,twig_dry_g,0.8081618054891422,TRUE,both
804_4_cape_point,804_4_cape_point_a,3,Erica subcapitata,0.717948718,0.09646005571809597,0.067,3.1877582945296306,0.039,1.5411462684286665,twig_fresh_g,1.543320843660735,TRUE,both
727_43_baviaanskloof,727_43_baviaanskloof_HK,2,Hypodiscus alboaristatus,0.931389365,0.09490565892461676,1.126,2.062374504777752,0.583,0.3001314577321112,twig_fresh_g,1.5084077901756257,TRUE,both
626_4_hangklip,626_4_hangklip_TEM,1,Restio subverticillatus,0.759585492,0.09170564169055727,3.396,0.24454617985442592,1.93,1.2014283104578924,twig_dry_g,1.495305699077586,TRUE,both
811_1_htr,811_1_htr_HKM,1,Babiana flabellifolia,0.381679389,0.09087715860221028,0.362,0.15777121908406663,0.262,2.067638716875363,twig_dry_g,0.5168208083066199,TRUE,both
727_43_baviaanskloof,727_43_baviaanskloof_HK,3,Hypodiscus alboaristatus,0.838461538,0.08503400859825097,0.956,2.3243406289627533,0.52,0.04222823538929746,twig_fresh_g,1.5084077901756257,TRUE,both
703_26_langeberg,703_26_langeberg_HKM,5L,Tetraria involucrata,0.084449405,0.08486612900903598,2.915,0.8982553707805064,2.688,1.7989262999870235,twig_dry_g,0.5938342648651644,TRUE,both
726_25_baviaanskloof,726_25_baviaanskloof_ASH,1,Asparagus africanus,0.544444444,0.07691036755304562,0.139,0.030806046781174424,0.09,1.0324214776923775,twig_dry_g,1.5638233319292085,TRUE,both
727_35_baviaanskloof,727_35_baviaanskloof_HK,2,Erica passerina,0.560846561,0.07243654994673357,0.295,2.206939843762868,0.189,0.28611801894683525,twig_fresh_g,1.5047943557789494,TRUE,both
719_1_baviaanskloof,719_1_baviaanskloof_JAS,3,Protea eximia,0.93982808,0.061458787102278395,2.031,0.15113516454743645,1.047,1.5995038265425496,twig_dry_g,1.5231562578674847,TRUE,both
