NewUID,sample_id,replicate,ScientificName_WFO,fwc,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_dry_wgt_g,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
620_9_hangklip,620_9_hangklip_HKM,4,Carpobrotus acinaciformis,6.527977044,3.207123672036811,5.247,0.2267065118373821,0.697,1.1324139821673258,leaf_dry_wgt_g,0.9063685481078692,TRUE,both
814_10_cape_point,814_10_cape_point_a,2,Myrica cordifolia,5.370629371,3.1888433344156106,0.911,1.0631229190251243,0.143,0.2913397750539393,leaf_fresh_wgt_g,0.7053941266900875,TRUE,both
724_4_cederberg,724_4_cederberg_SM,7,Ficinia bulbosa,1.77027027,3.165659778728843,0.205,1.2153376638024975,0.074,2.1169761214933533,leaf_dry_wgt_g,0.5729862907319718,TRUE,both
723_15_cape_point,723_15_cape_point_c,2,Diastella divaricata,6.277777778,3.1019607841315806,0.262,2.1754420064098783,0.036,0.8845227825800639,leaf_fresh_wgt_g,0.737628459137144,TRUE,both
724_4_cederberg,724_4_cederberg_SM,3,Ficinia bulbosa,1.716216216,3.068998411521317,0.201,1.2437660721290147,0.074,2.1169761214933533,leaf_dry_wgt_g,0.5729862907319718,TRUE,both
625_11_hangklip,625_11_hangklip_ET,4,Gnidia oppositifolia,4.096774194,3.0324876606516686,0.158,0.9056726174518469,0.031,2.0344883763852906,leaf_dry_wgt_g,0.5196567622338776,TRUE,both
709_24_langeberg,709_24_langeberg_JAS,2,Pentameris macrocalycina,2.35,3.0033644429746107,0.134,1.0887289185943316,0.04,2.074676686294496,leaf_dry_wgt_g,0.6254433517680199,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,2,Ruschia aspera,5.010309278,3.0018663350260875,1.166,0.0012378336588536195,0.194,0.26427330246715264,leaf_dry_wgt_g,0.7020577727383197,TRUE,both
724_4_cederberg,724_4_cederberg_SM,9,Ficinia bulbosa,1.677419355,2.999620495340962,0.249,0.9348158312398624,0.093,1.7872706760142718,leaf_dry_wgt_g,0.5729862907319718,TRUE,both
704_31_langeberg,704_31_langeberg_TEM,3,Ocotea bullata,3.989323843,2.9884602137188674,1.402,0.23410211354846133,0.281,0.8641641095244024,leaf_dry_wgt_g,0.6174565516571914,TRUE,both
724_15_cederberg,724_15_cederberg_SM,3,Aspalathus polycephala,2.791262136,2.965716018202499,0.781,2.8677117517408326,0.206,1.7796099315746998,leaf_fresh_wgt_g,0.6584355566416954,TRUE,both
807_7_htr,807_7_htr_HKM,5,Felicia brevifolia,2.652173913,2.95272430086527,0.084,0.03394733192333738,0.023,0.8514774752899119,leaf_dry_wgt_g,0.6893913508739385,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,3,Ruschia aspera,4.926829268,2.951850294545913,1.215,0.06062635895150064,0.205,0.18470604514883435,leaf_dry_wgt_g,0.7020577727383197,TRUE,both
625_11_hangklip,625_11_hangklip_ET,1,Gnidia oppositifolia,3.971428571,2.9397051354100063,0.174,0.7665098697802215,0.035,1.8594016698271993,leaf_dry_wgt_g,0.5196567622338776,TRUE,both
726_22_cederberg,726_22_cederberg_EFG,2,Willdenowia arescens,2.255025847,2.8998366749046784,5.667,0.2501089883122214,1.741,0.6209703719865171,leaf_dry_wgt_g,0.6110332755904195,TRUE,both
724_13_cederberg,724_13_cederberg_SM,4,Diosma acmaephylla,3.064133017,2.8726247025398046,1.711,2.054123517306195,0.421,1.35135420882058,leaf_fresh_wgt_g,0.5906393834842584,TRUE,both
724_14_cederberg,724_14_cederberg_SM,8,Othonna quinquedentata,4.3132250579999996,2.8673605372054247,2.29,1.3203539593892517,0.431,0.07206395958365215,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
724_13_cederberg,724_13_cederberg_SM,1,Diosma acmaephylla,3.057522124,2.8664269903542414,0.917,1.1542773964118362,0.226,0.4538567481693719,leaf_fresh_wgt_g,0.5906393834842584,TRUE,both
729_8_cederberg,729_8_cederberg_DEB,1,Ruschia aspera,4.770491803,2.858182589211332,1.408,0.27331737909565457,0.244,0.1825444879734259,leaf_fresh_wgt_g,0.7020577727383197,TRUE,both
724_14_cederberg,724_14_cederberg_SM,3,Othonna quinquedentata,4.27943761,2.8448992017208807,3.004,1.7118911739192173,0.569,0.47280474280113577,leaf_fresh_wgt_g,0.5325178828460101,TRUE,both
724_13_cederberg,724_13_cederberg_SM,5,Diosma acmaephylla,3.019607843,2.8308823519278494,0.615,0.577942073043384,0.153,0.23446525363702297,leaf_fresh_wgt_g,0.5906393834842584,TRUE,both
708_17_baviaanskloof,708_17_baviaanskloof_KE,1,Andropogon appendiculatus,4.387096774,2.8303850154838712,0.167,0.40093055308346837,0.031,1.505235308250422,leaf_dry_wgt_g,0.6601611005430389,TRUE,both
625_11_hangklip,625_11_hangklip_ET,6,Gnidia oppositifolia,3.794117647,2.808457191621395,0.163,0.860725211397872,0.034,1.9012218455218264,leaf_dry_wgt_g,0.5196567622338776,TRUE,both
702_17_baviaanskloof,702_17_baviaanskloof_DEB,3,Anthospermum galioides,5.722222222,2.8040901392125797,0.121,0.6318835481086488,0.018,1.7725895038969277,leaf_dry_wgt_g,0.6513245520854829,TRUE,both
724_15_cederberg,724_15_cederberg_SM,6,Aspalathus polycephala,2.575757576,2.736742423302675,0.708,2.7261385636818503,0.198,1.7224660244710912,leaf_fresh_wgt_g,0.6584355566416954,TRUE,both
