NewUID,sample_id,replicate,ScientificName_WFO,succulence,trait_ratio,leaf_fresh_wgt_g,comp1_dev,leaf_area_cm2,comp2_dev,suspected_bad,cv,flag_high_cv,confidence
731_17_htr,731_17_htr_HKM,3,Pentameris rupestris,0.014221557,0.317890003860756,0.178,1.1499754120980676,6.68,0.3042195086472368,leaf_fresh_wgt_g,0.7515988831418455,TRUE,both
724_15_cederberg,724_15_cederberg_SM,4,Aspalathus polycephala,0.012374582,0.31712899357053387,0.087,3.0246620542342693,2.99,2.090015029703253,leaf_fresh_wgt_g,0.6085174316754627,TRUE,both
723_5_cape_point,723_5_cape_point_a,2,Erica muscosa,0.006451613,0.31672698889123413,0.01,1.0703893278913976,0.31,0.7600492072792474,leaf_fresh_wgt_g,0.5169974550918485,TRUE,both
804_16_cape_point,804_16_cape_point_a,2,Roella triflora,0.006382979,0.3140425706941279,0.024,1.8744691179161408,0.94,1.3879256536616027,leaf_fresh_wgt_g,1.7428127018932014,TRUE,both
806_20_htr,806_20_htr_EPO,3,Stipagrostis namaquensis,0.01043956,0.30950886285149487,0.109,1.2514064035809545,1.82,0.8628927666085215,leaf_fresh_wgt_g,0.40561873638096996,TRUE,both
703_18_langeberg,703_18_langeberg_EFG,2,Restio stokoei,0.0375,0.2971610399118102,0.293,3.488895742972502,3.44,2.1230386138114765,leaf_fresh_wgt_g,1.134889519369852,TRUE,both
811_10_cape_point,811_10_cape_point_c,1,Cliffortia atrata,0.025951557,0.2936890668174459,0.138,0.13124453327825272,2.89,0.3234889465390045,leaf_area_cm2,1.204012933273193,TRUE,both
724_15_cederberg,724_15_cederberg_SM,2,Aspalathus polycephala,0.011380145,0.29164410810294383,0.107,2.7261385636818507,4.13,1.6240187324819126,leaf_fresh_wgt_g,0.6085174316754627,TRUE,both
723_15_cape_point,723_15_cape_point_c,1,Diastella divaricata,0.018709677,0.2887964945396724,0.05,1.713695814843359,1.55,0.37133402118068265,leaf_fresh_wgt_g,0.9453100224162234,TRUE,both
723_1_cape_point,723_1_cape_point_c,2,Struthiola ciliata,0.006748466,0.28828398334647,0.042,0.6076825772212398,1.63,0.043589268547682906,leaf_fresh_wgt_g,0.5854089967725821,TRUE,both
805_8_htr,805_8_htr_MAL,3,Pteronia glabrata,0.116438356,0.2816911268004231,0.662,1.7309600432235486,5.11,0.011249141132959418,leaf_fresh_wgt_g,0.5453058602936195,TRUE,both
818_47_htr,818_47_htr_EPO,2,Stipagrostis zeyheri,0.034210526,0.2789415351527016,0.403,0.4500648842787638,4.94,1.2306908085182817,leaf_area_cm2,1.0983046563380785,TRUE,both
818_47_htr,818_47_htr_EPO,1,Stipagrostis zeyheri,0.033967391,0.2766848351188295,0.31,0.13961736301585304,3.68,0.4281649332644562,leaf_area_cm2,1.0983046563380785,TRUE,both
821_6_htr,821_6_htr_RDG,1,Lachenalia obscura,0.015005214,0.2759666753611941,0.197,0.835329059616159,9.59,0.6562735523044024,leaf_fresh_wgt_g,0.39778096593771345,TRUE,both
703_18_langeberg,703_18_langeberg_EFG,1,Restio stokoei,0.034285714,0.27169009136957095,0.579,2.5062330594055133,7,1.0980922566812457,leaf_fresh_wgt_g,1.134889519369852,TRUE,both
709_22_baviaanskloof,709_22_baviaanskloof_TEM,1,Senecio linifolius,0.111132813,0.24861752257180458,0.627,1.664417512257041,5.12,0.019860422360842615,leaf_fresh_wgt_g,1.2083889459162007,TRUE,both
627_9_hangklip,627_9_hangklip_CM,6,Grubbia tomentosa,0.008039216,0.24004419632681037,0.181,0.7528195453670434,5.1,0.2162763073234997,leaf_fresh_wgt_g,0.43039084864064925,TRUE,both
725_25_cape_point,725_25_cape_point_c,1,Pentameris scabra,0.028333333,0.2337499976590625,0.03,0.0473057147783568,0.6,1.862496476250065,leaf_area_cm2,0.8783312239392812,TRUE,both
725_47_cape_point,725_47_cape_point_c,2,Stoebe scabra,0.003296703,0.21468773535480554,0.01,3.1538053360790355,0.91,1.5529012914888576,leaf_fresh_wgt_g,0.5341955404456898,TRUE,both
