trait_flagged,sample_id,NewUID,replicate,ScientificName_WFO,lma,leaf_thickness_mm,fwc,leaf_length_cm,avg_leaf_width_cm
lma,704_1_langeberg_TEM,704_1_langeberg,4,Elegia mucronata,0.167540363,NA,NA,NA,NA
lma,705_1_baviaanskloof_TEM,705_1_baviaanskloof,3,Aloe ferox,0.313484127,NA,NA,NA,NA
lma,705_1_baviaanskloof_TEM,705_1_baviaanskloof,1,Aloe ferox,0.220159375,NA,NA,NA,NA
lma,705_1_baviaanskloof_TEM,705_1_baviaanskloof,2,Aloe ferox,0.185561111,NA,NA,NA,NA
lma,709_23_baviaanskloof_TEM,709_23_baviaanskloof,3,Aloe comptonii,0.163833333,NA,NA,NA,NA
lma,725_45_cape_point_c,725_45_cape_point,3,Macrostylis villosa,0.465408805,NA,NA,NA,NA
lma,811_10_cape_point_c,811_10_cape_point,2,Cliffortia atrata,0.200716846,NA,NA,NA,NA
leaf_thickness_mm,621_37_hangklip_CC,621_37_hangklip,1,Erica perspicua,NA,0.017,NA,NA,NA
leaf_thickness_mm,621_37_hangklip_CC,621_37_hangklip,5,Erica perspicua,NA,0.012,NA,NA,NA
leaf_thickness_mm,708_14_langeberg_EFG,708_14_langeberg,4,Stoebe cinerea,NA,0.012,NA,NA,NA
leaf_thickness_mm,708_14_langeberg_EFG,708_14_langeberg,2,Stoebe cinerea,NA,0.015,NA,NA,NA
leaf_thickness_mm,628_11_hangklip_HKM,628_11_hangklip,1,Erica rigidula,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_11_hangklip_HKM,628_11_hangklip,2,Erica rigidula,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_11_hangklip_HKM,628_11_hangklip,5,Erica rigidula,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_11_hangklip_HKM,628_11_hangklip,4,Erica rigidula,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_11_hangklip_HKM,628_11_hangklip,3,Erica rigidula,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_22_hangklip_HKM,628_22_hangklip,5,Stoebe cinerea,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_22_hangklip_HKM,628_22_hangklip,4,Stoebe cinerea,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_22_hangklip_HKM,628_22_hangklip,3,Stoebe cinerea,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_22_hangklip_HKM,628_22_hangklip,2,Stoebe cinerea,NA,0.01,NA,NA,NA
leaf_thickness_mm,628_22_hangklip_HKM,628_22_hangklip,1,Stoebe cinerea,NA,0.01,NA,NA,NA
leaf_thickness_mm,709_1_langeberg_JAS,709_1_langeberg,5,Erica gracilis,NA,0.013,NA,NA,NA
leaf_thickness_mm,709_1_langeberg_JAS,709_1_langeberg,1,Erica gracilis,NA,0.007,NA,NA,NA
leaf_thickness_mm,709_1_langeberg_JAS,709_1_langeberg,3,Erica gracilis,NA,0.007,NA,NA,NA
leaf_thickness_mm,709_1_langeberg_JAS,709_1_langeberg,2,Erica gracilis,NA,0.012,NA,NA,NA
leaf_thickness_mm,709_26_langeberg_JAS,709_26_langeberg,1,Brunia noduliflora,NA,0.014,NA,NA,NA
leaf_thickness_mm,705_15_baviaanskloof_TEM,705_15_baviaanskloof,1,Euphorbia heptagona,NA,34.5,NA,NA,NA
leaf_thickness_mm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,3,Stoebe plumosa,NA,0.002,NA,NA,NA
leaf_thickness_mm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,1,Stoebe plumosa,NA,0.003,NA,NA,NA
leaf_thickness_mm,723_3_baviaanskloof_TEM,723_3_baviaanskloof,2,Stoebe plumosa,NA,0.002,NA,NA,NA
leaf_thickness_mm,723_24_cape_point_a,723_24_cape_point,2,Berzelia lanuginosa,NA,0.006,NA,NA,NA
leaf_thickness_mm,723_24_cape_point_a,723_24_cape_point,3,Berzelia lanuginosa,NA,0.011,NA,NA,NA
leaf_thickness_mm,723_24_cape_point_a,723_24_cape_point,1,Berzelia lanuginosa,NA,0.0133,NA,NA,NA
leaf_thickness_mm,725_12_cape_point_c,725_12_cape_point,1,Aspalathus retroflexa,NA,0.0089,NA,NA,NA
leaf_thickness_mm,725_12_cape_point_c,725_12_cape_point,3,Aspalathus retroflexa,NA,0.0038,NA,NA,NA
leaf_thickness_mm,725_12_cape_point_c,725_12_cape_point,2,Aspalathus retroflexa,NA,0.0038,NA,NA,NA
leaf_thickness_mm,725_29_cape_point_c,725_29_cape_point,3,Stoebe scabra,NA,0.019,NA,NA,NA
leaf_thickness_mm,725_29_cape_point_c,725_29_cape_point,2,Stoebe scabra,NA,0.008,NA,NA,NA
leaf_thickness_mm,725_29_cape_point_c,725_29_cape_point,1,Stoebe scabra,NA,0.014,NA,NA,NA
leaf_thickness_mm,725_47_cape_point_c,725_47_cape_point,1,Stoebe scabra,NA,0.006,NA,NA,NA
leaf_thickness_mm,725_47_cape_point_c,725_47_cape_point,3,Stoebe scabra,NA,0.006,NA,NA,NA
leaf_thickness_mm,725_47_cape_point_c,725_47_cape_point,4,Stoebe scabra,NA,0.006,NA,NA,NA
leaf_thickness_mm,725_47_cape_point_c,725_47_cape_point,2,Stoebe scabra,NA,0.006,NA,NA,NA
