trait_flagged,sample_id,NewUID,replicate,ScientificName_WFO,lma,leaf_thickness_mm,fwc,leaf_length_cm,avg_leaf_width_cm
fwc,725_21_cederberg_JL,725_21_cederberg,3,Pentameris macrocalycina,NA,NA,0.256544503,NA,NA
fwc,725_7_cederberg_JL,725_7_cederberg,1,Lachnospermum fasciculatum,NA,NA,0.369863014,NA,NA
fwc,619_20_hangklip_JS,619_20_hangklip,5c,Schoenus bolusii,NA,NA,84.91666667,NA,NA
fwc,723_16_cederberg_JS,723_16_cederberg,2,Stoebe,NA,NA,0.245283019,NA,NA
fwc,723_16_cederberg_JS,723_16_cederberg,4,Stoebe,NA,NA,0.242424242,NA,NA
fwc,723_16_cederberg_JS,723_16_cederberg,1,Stoebe,NA,NA,0.380952381,NA,NA
fwc,723_16_cederberg_JS,723_16_cederberg,3,Stoebe,NA,NA,0.404255319,NA,NA
fwc,723_25_cederberg_JS,723_25_cederberg,2,Passerina truncata,NA,NA,0.394495413,NA,NA
fwc,723_25_cederberg_JS,723_25_cederberg,1,Passerina truncata,NA,NA,0.411111111,NA,NA
fwc,723_29_cederberg_JS,723_29_cederberg,3,Stoebe scabra,NA,NA,0.416666667,NA,NA
fwc,723_29_cederberg_JS,723_29_cederberg,5,Stoebe scabra,NA,NA,0.402985075,NA,NA
fwc,723_29_cederberg_JS,723_29_cederberg,4,Stoebe scabra,NA,NA,0.389830508,NA,NA
fwc,723_38_cederberg_JS,723_38_cederberg,4,Restio gossypinus,NA,NA,0.405,NA,NA
fwc,730_31_cederberg_JS,730_31_cederberg,4,Restio paniculatus,NA,NA,0.327327327,NA,NA
fwc,730_32_cederberg_JS,730_32_cederberg,5,Platycaulos compressus,NA,NA,0.419442927,NA,NA
fwc,730_5_cederberg_JS,730_5_cederberg,5,Stoebe gnaphaloides,NA,NA,0.414634146,NA,NA
fwc,701_62_baviaanskloof_KE,701_62_baviaanskloof,1,Erica newdigateae,NA,NA,0.37704918,NA,NA
fwc,801_1_htr_MAL,801_1_htr,3,Fingerhuthia africana,NA,NA,0.401960784,NA,NA
fwc,824_10_htr_RDG,824_10_htr,3,Hermannia althaeifolia,NA,NA,0.355140187,NA,NA
fwc,622_1_hangklip_TEM,622_1_hangklip,3,Erica cristata,NA,NA,0.368932039,NA,NA
fwc,622_33_hangklip_TEM,622_33_hangklip,2,Restio versatilis,NA,NA,0.335664336,NA,NA
fwc,704_17_langeberg_TEM,704_17_langeberg,3,Pterygodium acutifolium,NA,NA,0.138287865,NA,NA
fwc,704_17_langeberg_TEM,704_17_langeberg,2,Pterygodium acutifolium,NA,NA,0.11234347,NA,NA
fwc,704_17_langeberg_TEM,704_17_langeberg,4,Pterygodium acutifolium,NA,NA,0.252512563,NA,NA
fwc,704_17_langeberg_TEM,704_17_langeberg,1,Pterygodium acutifolium,NA,NA,0.174857143,NA,NA
fwc,704_17_langeberg_TEM,704_17_langeberg,5,Pterygodium acutifolium,NA,NA,0.145552561,NA,NA
fwc,709_22_baviaanskloof_TEM,709_22_baviaanskloof,2,Senecio linifolius,NA,NA,81.2195122,NA,NA
fwc,711_1_baviaanskloof_TEM,711_1_baviaanskloof,3,Erica umbelliflora,NA,NA,0.386363636,NA,NA
fwc,711_24_baviaanskloof_TEM,711_24_baviaanskloof,2,Themeda triandra,NA,NA,0.411764706,NA,NA
fwc,711_28_baviaanskloof_TEM,711_28_baviaanskloof,2,Pentameris dregeana,NA,NA,0.25,NA,NA
fwc,711_28_baviaanskloof_TEM,711_28_baviaanskloof,1,Pentameris dregeana,NA,NA,0.258064516,NA,NA
fwc,711_28_baviaanskloof_TEM,711_28_baviaanskloof,3,Pentameris dregeana,NA,NA,0.2125,NA,NA
fwc,711_30_baviaanskloof_TEM,711_30_baviaanskloof,2,Restio sejunctus,NA,NA,0.361445783,NA,NA
fwc,711_35_baviaanskloof_TEM,711_35_baviaanskloof,3,Rhodocoma capense,NA,NA,0.376811594,NA,NA
fwc,711_35_baviaanskloof_TEM,711_35_baviaanskloof,1,Rhodocoma capense,NA,NA,0.395348837,NA,NA
fwc,721_20_cape_point_b,721_20_cape_point,2,Elegia filacea,NA,NA,0.255813953,NA,NA
fwc,723_1_cape_point_c,723_1_cape_point,2,Struthiola ciliata,NA,NA,0.35483871,NA,NA
fwc,723_30_cape_point_a,723_30_cape_point,1,Erica coccinea,NA,NA,0.391304348,NA,NA
fwc,723_8_cape_point_c,723_8_cape_point,2,Pelargonium gibbosum,NA,NA,0.123809524,NA,NA
fwc,729_24_cape_point_b,729_24_cape_point,2,Passerina corymbosa,NA,NA,0.112676056,NA,NA
fwc,804_16_cape_point_a,804_16_cape_point,2,Roella triflora,NA,NA,0.333333333,NA,NA
fwc,804_18_cape_point_a,804_18_cape_point,3,Pentameris curvifolia,NA,NA,0.366666667,NA,NA
fwc,804_2_cape_point_a,804_2_cape_point,2,Erica imbricata,NA,NA,0.35,NA,NA
fwc,810_19_cape_point_b,810_19_cape_point,3,Schoenus exilis,NA,NA,0.184782609,NA,NA
leaf_length_cm,702_10_baviaanskloof_DEB,702_10_baviaanskloof,1,Stoebe rhinocerotis,NA,NA,NA,0.05,NA
